"","profileID","respID","qID","altID","obsID","price","type_burger_classic","type_burger_premium","type_bundle_classic","type_bundle_premium","brand_mcdonalds","brand_burger_king","brand_max_burger","brand_wendys","no_choice"
"1",71,1,1,1,1,40,0,0,0,1,0,0,1,0,0
"2",72,1,1,2,1,40,0,0,0,1,0,0,0,1,0
"3",20,1,1,3,1,22,0,1,0,0,0,0,0,1,0
"4",0,1,1,4,1,0,0,0,0,0,0,0,0,0,1
"5",3,1,2,1,2,12,1,0,0,0,0,0,1,0,0
"6",42,1,2,2,2,28,0,0,0,1,0,1,0,0,0
"7",28,1,2,3,2,24,0,0,1,0,0,0,0,1,0
"8",0,1,2,4,2,0,0,0,0,0,0,0,0,0,1
"9",72,1,3,1,3,40,0,0,0,1,0,0,0,1,0
"10",28,1,3,2,3,24,0,0,1,0,0,0,0,1,0
"11",39,1,3,3,3,28,0,0,0,1,1,0,0,0,0
"12",0,1,3,4,3,0,0,0,0,0,0,0,0,0,1
"13",39,1,4,1,4,28,0,0,0,1,1,0,0,0,0
"14",3,1,4,2,4,12,1,0,0,0,0,0,1,0,0
"15",71,1,4,3,4,40,0,0,0,1,0,0,1,0,0
"16",0,1,4,4,4,0,0,0,0,0,0,0,0,0,1
"17",20,1,5,1,5,22,0,1,0,0,0,0,0,1,0
"18",41,1,5,2,5,28,0,0,1,0,0,1,0,0,0
"19",3,1,5,3,5,12,1,0,0,0,0,0,1,0,0
"20",0,1,5,4,5,0,0,0,0,0,0,0,0,0,1
"21",37,1,6,1,6,28,0,1,0,0,1,0,0,0,0
"22",71,1,6,2,6,40,0,0,0,1,0,0,1,0,0
"23",14,1,6,3,6,18,1,0,0,0,0,1,0,0,0
"24",0,1,6,4,6,0,0,0,0,0,0,0,0,0,1
"25",41,1,7,1,7,28,0,0,1,0,0,1,0,0,0
"26",14,1,7,2,7,18,1,0,0,0,0,1,0,0,0
"27",37,1,7,3,7,28,0,1,0,0,1,0,0,0,0
"28",0,1,7,4,7,0,0,0,0,0,0,0,0,0,1
"29",14,1,8,1,8,18,1,0,0,0,0,1,0,0,0
"30",20,1,8,2,8,22,0,1,0,0,0,0,0,1,0
"31",42,1,8,3,8,28,0,0,0,1,0,1,0,0,0
"32",0,1,8,4,8,0,0,0,0,0,0,0,0,0,1
"33",28,1,9,1,9,24,0,0,1,0,0,0,0,1,0
"34",37,1,9,2,9,28,0,1,0,0,1,0,0,0,0
"35",41,1,9,3,9,28,0,0,1,0,0,1,0,0,0
"36",0,1,9,4,9,0,0,0,0,0,0,0,0,0,1
"37",42,1,10,1,10,28,0,0,0,1,0,1,0,0,0
"38",39,1,10,2,10,28,0,0,0,1,1,0,0,0,0
"39",72,1,10,3,10,40,0,0,0,1,0,0,0,1,0
"40",0,1,10,4,10,0,0,0,0,0,0,0,0,0,1
"41",71,2,1,1,11,40,0,0,0,1,0,0,1,0,0
"42",72,2,1,2,11,40,0,0,0,1,0,0,0,1,0
"43",20,2,1,3,11,22,0,1,0,0,0,0,0,1,0
"44",0,2,1,4,11,0,0,0,0,0,0,0,0,0,1
"45",3,2,2,1,12,12,1,0,0,0,0,0,1,0,0
"46",42,2,2,2,12,28,0,0,0,1,0,1,0,0,0
"47",28,2,2,3,12,24,0,0,1,0,0,0,0,1,0
"48",0,2,2,4,12,0,0,0,0,0,0,0,0,0,1
"49",72,2,3,1,13,40,0,0,0,1,0,0,0,1,0
"50",28,2,3,2,13,24,0,0,1,0,0,0,0,1,0
"51",39,2,3,3,13,28,0,0,0,1,1,0,0,0,0
"52",0,2,3,4,13,0,0,0,0,0,0,0,0,0,1
"53",39,2,4,1,14,28,0,0,0,1,1,0,0,0,0
"54",3,2,4,2,14,12,1,0,0,0,0,0,1,0,0
"55",71,2,4,3,14,40,0,0,0,1,0,0,1,0,0
"56",0,2,4,4,14,0,0,0,0,0,0,0,0,0,1
"57",20,2,5,1,15,22,0,1,0,0,0,0,0,1,0
"58",41,2,5,2,15,28,0,0,1,0,0,1,0,0,0
"59",3,2,5,3,15,12,1,0,0,0,0,0,1,0,0
"60",0,2,5,4,15,0,0,0,0,0,0,0,0,0,1
"61",37,2,6,1,16,28,0,1,0,0,1,0,0,0,0
"62",71,2,6,2,16,40,0,0,0,1,0,0,1,0,0
"63",14,2,6,3,16,18,1,0,0,0,0,1,0,0,0
"64",0,2,6,4,16,0,0,0,0,0,0,0,0,0,1
"65",41,2,7,1,17,28,0,0,1,0,0,1,0,0,0
"66",14,2,7,2,17,18,1,0,0,0,0,1,0,0,0
"67",37,2,7,3,17,28,0,1,0,0,1,0,0,0,0
"68",0,2,7,4,17,0,0,0,0,0,0,0,0,0,1
"69",14,2,8,1,18,18,1,0,0,0,0,1,0,0,0
"70",20,2,8,2,18,22,0,1,0,0,0,0,0,1,0
"71",42,2,8,3,18,28,0,0,0,1,0,1,0,0,0
"72",0,2,8,4,18,0,0,0,0,0,0,0,0,0,1
