"id","profile_id","respondent_id","question_id","alternative_id","observation_id","price","kcal","gram","type_burger_classic","type_burger_premium","type_bundle_classic","type_bundle_premium","brand_mcdonalds","brand_burger_king","brand_max_burger","brand_wendys","no_choice"
1,36,1,1,1,1,21,600,220,0,0,1,0,0,1,0,0,0
2,23,1,1,2,1,14,600,220,1,0,0,0,0,0,1,0,0
3,54,1,1,3,1,27,600,220,0,0,1,0,0,0,1,0,0
4,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1
5,66,1,2,1,2,27,800,220,0,0,1,0,0,1,0,0,0
6,114,1,2,2,2,25,600,285,0,0,1,0,0,0,1,0,0
7,85,1,2,3,2,12,600,285,1,0,0,0,1,0,0,0,0
8,0,1,2,4,2,0,0,0,0,0,0,0,0,0,0,0,1
9,96,1,3,1,3,15,600,285,1,0,0,0,0,0,0,1,0
10,10,1,3,2,3,15,400,220,1,0,0,0,0,1,0,0,0
11,36,1,3,3,3,21,600,220,0,0,1,0,0,1,0,0,0
12,0,1,3,4,3,0,0,0,0,0,0,0,0,0,0,0,1
13,160,1,4,1,4,27,800,350,0,0,1,0,0,0,0,1,0
14,92,1,4,2,4,14,600,285,1,0,0,0,0,0,0,1,0
15,154,1,4,3,4,25,800,350,0,0,1,0,0,1,0,0,0
16,0,1,4,4,4,0,0,0,0,0,0,0,0,0,0,0,1
17,143,1,5,1,5,25,600,350,0,0,1,0,0,0,1,0,0
18,83,1,5,2,5,17,400,285,1,0,0,0,0,0,1,0,0
19,68,1,5,3,5,27,800,220,0,0,1,0,0,0,0,1,0
20,0,1,5,4,5,0,0,0,0,0,0,0,0,0,0,0,1
21,115,1,6,1,6,25,600,285,0,1,0,0,0,0,0,1,0
22,137,1,6,2,6,21,600,350,0,0,1,0,1,0,0,0,0
23,140,1,6,3,6,21,600,350,0,0,1,0,0,0,0,1,0
24,0,1,6,4,6,0,0,0,0,0,0,0,0,0,0,0,1
25,48,2,1,1,7,25,600,220,0,0,1,0,0,0,0,1,0
26,87,2,1,2,7,12,600,285,1,0,0,0,0,0,1,0,0
27,75,2,1,3,7,14,400,285,1,0,0,0,0,0,1,0,0
28,0,2,1,4,7,0,0,0,0,0,0,0,0,0,0,0,1
29,4,2,2,1,8,12,400,220,1,0,0,0,0,0,0,1,0
30,126,2,2,2,8,21,800,285,0,0,1,0,0,1,0,0,0
31,67,2,2,3,8,27,800,220,0,0,1,0,0,0,1,0,0
32,0,2,2,4,8,0,0,0,0,0,0,0,0,0,0,0,1
33,101,2,3,1,9,21,600,285,0,1,0,0,1,0,0,0,0
34,63,2,3,2,9,25,800,220,0,0,1,0,0,0,1,0,0
35,112,2,3,3,9,25,600,285,0,0,1,0,0,1,0,0,0
36,0,2,3,4,9,0,0,0,0,0,0,0,0,0,0,0,1
37,73,2,4,1,10,14,400,285,1,0,0,0,1,0,0,0,0
38,97,2,4,2,10,17,600,285,1,0,0,0,1,0,0,0,0
39,93,2,4,3,10,15,600,285,1,0,0,0,1,0,0,0,0
40,0,2,4,4,10,0,0,0,0,0,0,0,0,0,0,0,1
41,118,2,5,1,11,27,600,285,0,0,1,0,1,0,0,0,0
42,16,2,5,2,11,17,400,220,1,0,0,0,0,0,0,1,0
43,83,2,5,3,11,17,400,285,1,0,0,0,0,0,1,0,0
44,0,2,5,4,11,0,0,0,0,0,0,0,0,0,0,0,1
45,150,2,6,1,12,21,800,350,0,0,1,0,0,1,0,0,0
46,74,2,6,2,12,14,400,285,1,0,0,0,0,1,0,0,0
47,107,2,6,3,12,21,600,285,0,1,0,0,0,0,0,1,0
48,0,2,6,4,12,0,0,0,0,0,0,0,0,0,0,0,1
49,113,3,1,1,13,25,600,285,0,1,0,0,0,0,1,0,0
50,149,3,1,2,13,21,800,350,0,0,1,0,1,0,0,0,0
51,61,3,1,3,13,25,800,220,0,0,1,0,1,0,0,0,0
52,0,3,1,4,13,0,0,0,0,0,0,0,0,0,0,0,1
53,56,3,2,1,14,27,600,220,0,0,1,0,0,0,0,1,0
54,168,3,2,2,14,30,1000,415,0,0,0,1,0,0,0,1,0
55,164,3,2,3,14,27,1000,415,0,0,0,1,0,0,0,1,0
56,0,3,2,4,14,0,0,0,0,0,0,0,0,0,0,0,1
57,71,3,3,1,15,12,400,285,1,0,0,0,0,0,1,0,0
58,130,3,3,2,15,25,800,285,0,0,1,0,0,1,0,0,0
59,110,3,3,3,15,25,600,285,0,0,1,0,1,0,0,0,0
60,0,3,3,4,15,0,0,0,0,0,0,0,0,0,0,0,1
61,157,3,4,1,16,27,800,350,0,0,1,0,1,0,0,0,0
62,98,3,4,2,16,17,600,285,1,0,0,0,0,1,0,0,0
63,79,3,4,3,16,15,400,285,1,0,0,0,0,0,1,0,0
64,0,3,4,4,16,0,0,0,0,0,0,0,0,0,0,0,1
65,8,3,5,1,17,14,400,220,1,0,0,0,0,0,0,1,0
66,157,3,5,2,17,27,800,350,0,0,1,0,1,0,0,0,0
67,152,3,5,3,17,21,800,350,0,0,1,0,0,0,0,1,0
68,0,3,5,4,17,0,0,0,0,0,0,0,0,0,0,0,1
69,134,3,6,1,18,27,800,285,0,0,1,0,0,1,0,0,0
70,11,3,6,2,18,15,400,220,1,0,0,0,0,0,1,0,0
71,74,3,6,3,18,14,400,285,1,0,0,0,0,1,0,0,0
72,0,3,6,4,18,0,0,0,0,0,0,0,0,0,0,0,1
73,132,4,1,1,19,25,800,285,0,0,1,0,0,0,0,1,0
74,20,4,1,2,19,12,600,220,1,0,0,0,0,0,0,1,0
75,95,4,1,3,19,15,600,285,1,0,0,0,0,0,1,0,0
76,0,4,1,4,19,0,0,0,0,0,0,0,0,0,0,0,1
77,122,4,2,1,20,27,600,285,0,0,1,0,0,0,1,0,0
78,132,4,2,2,20,25,800,285,0,0,1,0,0,0,0,1,0
79,125,4,2,3,20,21,800,285,0,0,1,0,1,0,0,0,0
80,0,4,2,4,20,0,0,0,0,0,0,0,0,0,0,0,1
81,136,4,3,1,21,27,800,285,0,0,1,0,0,0,0,1,0
82,118,4,3,2,21,27,600,285,0,0,1,0,1,0,0,0,0
83,17,4,3,3,21,12,600,220,1,0,0,0,1,0,0,0,0
84,0,4,3,4,21,0,0,0,0,0,0,0,0,0,0,0,1
85,127,4,4,1,22,21,800,285,0,0,1,0,0,0,1,0,0
86,153,4,4,2,22,25,800,350,0,0,1,0,1,0,0,0,0
87,91,4,4,3,22,14,600,285,1,0,0,0,0,0,1,0,0
88,0,4,4,4,22,0,0,0,0,0,0,0,0,0,0,0,1
