"respondent_id","block_id","question_id","alternative_id","kcal","gram","price","brand_wendys","brand_max_burger","brand_burger_king","brand_mcdonalds","type_burger_classic","type_burger_premium","type_bundle_classic","type_bundle_premium","no_choice"
1,1,1,1,800,300,35,0,1,0,0,0,0,1,0,0
1,1,1,2,600,300,20,1,0,0,0,0,1,0,0,0
1,1,1,3,800,340,20,0,0,1,0,1,0,0,0,0
1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,1
1,1,2,1,800,260,12,0,0,1,0,1,0,0,0,0
1,1,2,2,800,300,30,0,1,0,0,0,1,0,0,0
1,1,2,3,500,380,35,0,0,0,1,0,0,0,1,0
1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,1
1,1,3,1,400,420,25,0,0,1,0,0,0,0,1,0
1,1,3,2,1000,220,17,0,1,0,0,0,0,1,0,0
1,1,3,3,600,300,25,1,0,0,0,1,0,0,0,0
1,1,3,4,0,0,0,0,0,0,0,0,0,0,0,1
1,1,4,1,900,220,17,0,1,0,0,0,0,0,1,0
1,1,4,2,400,420,22,0,0,0,1,0,0,1,0,0
1,1,4,3,700,340,27,1,0,0,0,0,1,0,0,0
1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,1
1,1,5,1,600,380,35,1,0,0,0,0,0,0,1,0
1,1,5,2,600,380,32,0,0,0,1,0,1,0,0,0
1,1,5,3,900,260,12,0,0,1,0,1,0,0,0,0
1,1,5,4,0,0,0,0,0,0,0,0,0,0,0,1
1,1,6,1,1000,220,25,0,0,1,0,0,0,0,1,0
1,1,6,2,500,420,15,1,0,0,0,0,0,1,0,0
1,1,6,3,600,340,25,0,1,0,0,1,0,0,0,0
1,1,6,4,0,0,0,0,0,0,0,0,0,0,0,1
2,1,1,1,800,300,35,0,1,0,0,0,0,1,0,0
2,1,1,2,600,300,20,1,0,0,0,0,1,0,0,0
2,1,1,3,800,340,20,0,0,1,0,1,0,0,0,0
2,1,1,4,0,0,0,0,0,0,0,0,0,0,0,1
2,1,2,1,800,260,12,0,0,1,0,1,0,0,0,0
2,1,2,2,800,300,30,0,1,0,0,0,1,0,0,0
2,1,2,3,500,380,35,0,0,0,1,0,0,0,1,0
2,1,2,4,0,0,0,0,0,0,0,0,0,0,0,1
2,1,3,1,400,420,25,0,0,1,0,0,0,0,1,0
2,1,3,2,1000,220,17,0,1,0,0,0,0,1,0,0
2,1,3,3,600,300,25,1,0,0,0,1,0,0,0,0
2,1,3,4,0,0,0,0,0,0,0,0,0,0,0,1
2,1,4,1,900,220,17,0,1,0,0,0,0,0,1,0
2,1,4,2,400,420,22,0,0,0,1,0,0,1,0,0
2,1,4,3,700,340,27,1,0,0,0,0,1,0,0,0
2,1,4,4,0,0,0,0,0,0,0,0,0,0,0,1
2,1,5,1,600,380,35,1,0,0,0,0,0,0,1,0
2,1,5,2,600,380,32,0,0,0,1,0,1,0,0,0
2,1,5,3,900,260,12,0,0,1,0,1,0,0,0,0
2,1,5,4,0,0,0,0,0,0,0,0,0,0,0,1
2,1,6,1,1000,220,25,0,0,1,0,0,0,0,1,0
2,1,6,2,500,420,15,1,0,0,0,0,0,1,0,0
2,1,6,3,600,340,25,0,1,0,0,1,0,0,0,0
2,1,6,4,0,0,0,0,0,0,0,0,0,0,0,1
3,1,1,1,800,300,35,0,1,0,0,0,0,1,0,0
3,1,1,2,600,300,20,1,0,0,0,0,1,0,0,0
3,1,1,3,800,340,20,0,0,1,0,1,0,0,0,0
3,1,1,4,0,0,0,0,0,0,0,0,0,0,0,1
3,1,2,1,800,260,12,0,0,1,0,1,0,0,0,0
3,1,2,2,800,300,30,0,1,0,0,0,1,0,0,0
3,1,2,3,500,380,35,0,0,0,1,0,0,0,1,0
3,1,2,4,0,0,0,0,0,0,0,0,0,0,0,1
3,1,3,1,400,420,25,0,0,1,0,0,0,0,1,0
3,1,3,2,1000,220,17,0,1,0,0,0,0,1,0,0
3,1,3,3,600,300,25,1,0,0,0,1,0,0,0,0
3,1,3,4,0,0,0,0,0,0,0,0,0,0,0,1
3,1,4,1,900,220,17,0,1,0,0,0,0,0,1,0
3,1,4,2,400,420,22,0,0,0,1,0,0,1,0,0
