id;profile_id;respondent_id;question_id;alternative_id;observation_id;price;kcal;gram;type_burger_classic;type_burger_premium;type_bundle_classic;type_bundle_premium;brand_mcdonalds;brand_burger_king;brand_max_burger;brand_wendys;no_choice
1;957;1;1;1;1;27;520;230;0;1;0;0;0;0;1;0;0
2;2133;1;1;2;1;27;720;240;0;1;0;0;1;0;0;0;0
3;11393;1;1;3;1;29;560;390;0;0;1;0;1;0;0;0;0
4;0;1;1;4;1;0;0;0;0;0;0;0;0;0;0;0;1
5;9276;1;2;1;2;24;800;350;0;0;1;0;0;0;0;1;0
6;2427;1;2;2;2;14;480;250;1;0;0;0;0;0;1;0;0
7;8336;1;2;3;2;24;760;330;0;0;1;0;0;0;0;1;0
8;0;1;2;4;2;0;0;0;0;0;0;0;0;0;0;0;1
9;5366;1;3;1;3;27;800;280;0;0;1;0;0;1;0;0;0
10;7514;1;3;2;3;21;600;320;0;1;0;0;0;1;0;0;0
11;11421;1;3;3;3;29;600;390;0;0;1;0;1;0;0;0;0
12;0;1;3;4;3;0;0;0;0;0;0;0;0;0;0;0;1
13;3984;1;4;1;4;19;440;270;1;0;0;0;0;0;0;1;0
14;4970;1;4;2;4;27;560;280;0;0;1;0;0;0;1;0;0
15;2751;1;4;3;4;18;640;250;1;0;0;0;0;0;1;0;0
16;0;1;4;4;4;0;0;0;0;0;0;0;0;0;0;0;1
17;5035;1;5;1;5;24;600;280;0;1;0;0;0;1;0;0;0
18;7258;1;5;2;5;24;800;310;0;0;1;0;0;1;0;0;0
19;10767;1;5;3;5;26;600;380;0;0;1;0;0;0;1;0;0
20;0;1;5;4;5;0;0;0;0;0;0;0;0;0;0;0;1
21;1152;1;6;1;6;28;600;230;0;0;1;0;0;0;0;1;0
22;8787;1;6;2;6;26;680;340;0;1;0;0;0;1;0;0;0
23;6333;1;6;3;6;21;560;300;0;1;0;0;1;0;0;0;0
24;0;1;6;4;6;0;0;0;0;0;0;0;0;0;0;0;1
25;12560;2;1;1;7;27;1080;410;0;0;0;1;0;0;0;1;0
26;9192;2;1;2;7;24;680;350;0;0;1;0;0;0;0;1;0
27;6171;2;1;3;7;25;840;290;0;0;1;0;0;0;1;0;0
28;0;2;1;4;7;0;0;0;0;0;0;0;0;0;0;0;1
29;652;2;2;1;8;24;800;220;0;0;1;0;0;0;0;1;0
30;7245;2;2;2;8;28;760;310;0;1;0;0;0;0;1;0;0
