Choice situation;alt1.type;alt1.brand;alt1.kcal;alt1.gram;alt1.tax;alt2.type;alt2.brand;alt2.kcal;alt2.gram;alt2.tax;alt3.type;alt3.brand;alt3.kcal;alt3.gram;alt3.tax;Block
1;1;3;8;3,4;20;2;4;8;3,4;32;3;1;5;2,6;17;1
2;4;3;5;2,2;32;1;1;7;3;22;2;4;9;4,2;17;1
3;1;1;7;3,4;20;2;2;5;2,6;15;3;4;9;3,8;35;1
4;4;1;9;3;32;1;3;4;3,8;12;2;2;8;3;30;1
5;2;4;6;2,6;27;3;2;5;2,6;25;4;3;10;4,2;15;1
6;1;4;9;2,6;25;4;1;8;2,6;32;2;2;4;4,2;12;1
7;2;4;10;3,8;17;3;3;5;2,6;32;1;2;6;3;22;2
8;2;4;8;3;32;1;3;6;3,8;15;3;1;7;2,6;32;2
9;1;3;7;3;22;3;4;5;4,2;17;4;2;8;2,6;27;2
10;4;2;4;4,2;20;2;1;7;3;25;3;4;10;2,2;22;2
11;1;1;7;3,4;22;2;4;4;4,2;20;4;2;10;2,2;22;2
12;2;2;6;3,4;27;4;3;10;2,2;12;3;4;5;3,8;32;2
13;4;4;5;2,2;30;3;2;9;4,2;15;1;3;6;3;25;3
14;1;4;10;2,6;12;3;1;6;3,4;35;2;2;6;3,4;30;3
15;4;3;4;4,2;35;1;4;9;2,6;15;2;1;8;3;22;3
16;4;3;4;2,2;30;3;2;10;4,2;17;1;1;6;3;22;3
17;3;4;10;4,2;25;2;1;7;3,4;22;4;3;4;2,2;17;3
18;3;1;9;3,8;12;4;3;5;2,6;35;1;2;7;3;25;3
19;3;1;4;3,8;15;4;4;10;2,6;32;1;2;7;3,4;25;4
20;2;3;7;2,6;22;4;4;5;4,2;22;3;2;9;2,6;20;4
21;4;2;9;3,8;35;2;1;8;3,4;27;1;4;5;2,6;12;4
22;3;1;4;4,2;12;1;3;8;3;27;4;4;10;2,6;35;4
23;1;4;5;4,2;15;2;3;9;2,6;27;4;1;8;2,6;32;4
24;1;2;8;3;25;3;4;10;2,6;30;4;1;4;4,2;15;4
25;3;2;5;3,8;32;4;1;10;2,2;12;2;3;5;3,8;30;5
26;4;1;10;4,2;15;1;3;7;3;30;3;2;5;2,6;30;5
27;3;1;4;2,2;12;4;2;10;4,2;27;2;3;8;3,4;32;5
28;2;2;8;3,4;30;4;3;9;4,2;35;1;4;4;2,2;12;5
29;3;3;10;4,2;20;4;2;4;2,2;20;1;4;7;3,4;27;5
30;4;4;6;2,6;35;1;2;8;3,8;17;2;1;7;3,4;20;5
31;4;1;6;3,4;30;3;4;5;3,8;35;2;3;9;2,2;12;6
32;4;1;8;3;30;3;2;9;2,2;22;2;4;4;4,2;15;6
33;2;2;7;3,4;27;3;3;4;2,2;17;4;4;10;4,2;27;6
34;2;2;9;2,2;15;4;3;5;3,8;35;1;1;7;3,4;20;6
35;3;2;5;3,8;25;1;3;7;3,4;25;2;4;9;2,6;17;6
36;4;1;5;2,2;17;1;3;7;3,4;27;3;2;9;4,2;20;6
37;1;4;9;2,6;12;3;2;6;3,8;35;2;1;6;3,4;27;7
38;1;3;6;3;20;2;4;6;2,6;30;4;1;9;3,8;17;7
39;2;3;9;3;30;3;1;8;3;32;1;4;5;3,8;12;7
40;4;2;5;2,6;32;2;4;10;3,8;12;3;1;6;3;30;7
41;4;1;10;2,6;17;1;2;6;3,4;25;2;3;5;3,8;30;7
42;2;4;4;2,2;20;4;1;10;3,8;17;1;3;7;3,4;27;7
43;1;2;7;3;22;3;4;10;2,2;20;4;3;4;4,2;20;8
44;2;3;4;2,2;17;1;1;8;3,4;20;4;2;9;3,8;32;8
45;3;2;6;2,6;32;1;3;8;3,4;22;2;1;6;3,8;20;8
46;3;3;10;4,2;15;1;2;7;3;25;4;4;4;2,2;32;8
47;2;1;7;3,4;25;3;2;4;2,2;17;4;3;10;4,2;27;8
48;2;3;9;3,8;17;1;4;6;3;30;1;1;6;3;25;8
49;2;3;10;2,2;12;1;1;7;3;22;3;4;4;4,2;35;9
50;1;2;6;3,8;17;2;1;6;3;20;3;3;8;3;35;9
51;2;2;8;3,4;25;4;4;9;4,2;32;3;3;4;2,2;15;9
52;3;1;5;3,8;22;2;3;6;3,4;27;4;2;10;2,2;15;9
53;4;4;4;4,2;35;3;1;9;2,2;12;1;3;8;3,4;25;9
54;3;4;5;2,2;35;2;2;9;4,2;15;1;1;7;3,4;22;9
55;3;3;9;2,6;35;2;1;8;3;25;1;2;5;3,8;12;10
56;1;2;8;3;22;4;1;4;3,8;15;3;4;9;2,6;35;10
57;3;1;6;3,8;27;2;4;6;3,8;30;4;2;10;2,2;15;10
58;1;4;7;3;27;4;2;4;4,2;20;3;3;10;2,2;17;10
59;3;3;10;4,2;15;4;4;4;2,2;30;2;1;7;3;25;10
60;1;4;8;3,4;27;2;2;5;2,2;12;3;3;8;3,8;35;10
