id;profile_id;respondent_id;question_id;alternative_id;observation_id;price;kcal;gram;type_burger_classic;type_burger_premium;type_bundle_classic;type_bundle_premium;brand_mcdonalds;brand_burger_king;brand_max_burger;brand_wendys;no_choice
1;121;1;1;1;1;27;600;285;0;1;0;0;0;0;1;0;0
2;19;1;1;2;1;12;600;220;1;0;0;0;0;0;1;0;0
3;173;1;1;3;1;34;1000;415;0;0;0;1;1;0;0;0;0
4;0;1;1;4;1;0;0;0;0;0;0;0;0;0;0;0;1
5;33;1;2;1;2;21;600;220;0;1;0;0;1;0;0;0;0
6;160;1;2;2;2;27;800;350;0;0;1;0;0;0;0;1;0
7;135;1;2;3;2;27;800;285;0;0;1;0;0;0;1;0;0
8;0;1;2;4;2;0;0;0;0;0;0;0;0;0;0;0;1
9;119;1;3;1;3;27;600;285;0;1;0;0;0;1;0;0;0
10;58;1;3;2;3;21;800;220;0;0;1;0;0;1;0;0;0
11;14;1;3;3;3;17;400;220;1;0;0;0;0;1;0;0;0
12;0;1;3;4;3;0;0;0;0;0;0;0;0;0;0;0;1
13;23;1;4;1;4;14;600;220;1;0;0;0;0;0;1;0;0
14;108;1;4;2;4;21;600;285;0;0;1;0;0;0;0;1;0
15;147;1;4;3;4;27;600;350;0;0;1;0;0;0;1;0;0
16;0;1;4;4;4;0;0;0;0;0;0;0;0;0;0;0;1
17;30;1;5;1;5;17;600;220;1;0;0;0;0;1;0;0;0
18;13;1;5;2;5;17;400;220;1;0;0;0;1;0;0;0;0
19;44;1;5;3;5;25;600;220;0;0;1;0;0;1;0;0;0
20;0;1;5;4;5;0;0;0;0;0;0;0;0;0;0;0;1
21;113;1;6;1;6;25;600;285;0;1;0;0;0;0;1;0;0
22;80;1;6;2;6;15;400;285;1;0;0;0;0;0;0;1;0
23;87;1;6;3;6;12;600;285;1;0;0;0;0;0;1;0;0
24;0;1;6;4;6;0;0;0;0;0;0;0;0;0;0;0;1
25;134;2;1;1;7;27;800;285;0;0;1;0;0;1;0;0;0
26;142;2;1;2;7;25;600;350;0;0;1;0;0;1;0;0;0
27;95;2;1;3;7;15;600;285;1;0;0;0;0;0;1;0;0
28;0;2;1;4;7;0;0;0;0;0;0;0;0;0;0;0;1
29;24;2;2;1;8;14;600;220;1;0;0;0;0;0;0;1;0
30;148;2;2;2;8;27;600;350;0;0;1;0;0;0;0;1;0
31;41;2;2;3;8;25;600;220;0;1;0;0;1;0;0;0;0
32;0;2;2;4;8;0;0;0;0;0;0;0;0;0;0;0;1
33;22;2;3;1;9;14;600;220;1;0;0;0;0;1;0;0;0
34;155;2;3;2;9;25;800;350;0;0;1;0;0;0;1;0;0
35;153;2;3;3;9;25;800;350;0;0;1;0;1;0;0;0;0
36;0;2;3;4;9;0;0;0;0;0;0;0;0;0;0;0;1
37;40;2;4;1;10;21;600;220;0;0;1;0;0;0;0;1;0
38;62;2;4;2;10;25;800;220;0;0;1;0;0;1;0;0;0
39;65;2;4;3;10;27;800;220;0;0;1;0;1;0;0;0;0
