profile_id;price;kcal;gram;type_burger_classic;type_burger_premium;type_bundle_classic;type_bundle_premium;brand_mcdonalds;brand_burger_king;brand_max_burger;brand_wendys;no_choice
0;0;0;0;0;0;0;0;0;0;0;0;1
1;12;400;220;1;0;0;0;1;0;0;0;0
2;12;400;220;1;0;0;0;0;1;0;0;0
3;12;400;220;1;0;0;0;0;0;1;0;0
4;12;400;220;1;0;0;0;0;0;0;1;0
5;14;400;220;1;0;0;0;1;0;0;0;0
6;14;400;220;1;0;0;0;0;1;0;0;0
7;14;400;220;1;0;0;0;0;0;1;0;0
8;14;400;220;1;0;0;0;0;0;0;1;0
9;15;400;220;1;0;0;0;1;0;0;0;0
10;15;400;220;1;0;0;0;0;1;0;0;0
11;15;400;220;1;0;0;0;0;0;1;0;0
12;15;400;220;1;0;0;0;0;0;0;1;0
13;17;400;220;1;0;0;0;1;0;0;0;0
14;17;400;220;1;0;0;0;0;1;0;0;0
15;17;400;220;1;0;0;0;0;0;1;0;0
16;17;400;220;1;0;0;0;0;0;0;1;0
17;12;600;220;1;0;0;0;1;0;0;0;0
18;12;600;220;1;0;0;0;0;1;0;0;0
19;12;600;220;1;0;0;0;0;0;1;0;0
20;12;600;220;1;0;0;0;0;0;0;1;0
21;14;600;220;1;0;0;0;1;0;0;0;0
22;14;600;220;1;0;0;0;0;1;0;0;0
23;14;600;220;1;0;0;0;0;0;1;0;0
24;14;600;220;1;0;0;0;0;0;0;1;0
25;15;600;220;1;0;0;0;1;0;0;0;0
26;15;600;220;1;0;0;0;0;1;0;0;0
27;15;600;220;1;0;0;0;0;0;1;0;0
28;15;600;220;1;0;0;0;0;0;0;1;0
29;17;600;220;1;0;0;0;1;0;0;0;0
30;17;600;220;1;0;0;0;0;1;0;0;0
31;17;600;220;1;0;0;0;0;0;1;0;0
32;17;600;220;1;0;0;0;0;0;0;1;0
33;21;600;220;0;1;0;0;1;0;0;0;0
34;21;600;220;0;0;1;0;1;0;0;0;0
35;21;600;220;0;1;0;0;0;1;0;0;0
36;21;600;220;0;0;1;0;0;1;0;0;0
37;21;600;220;0;1;0;0;0;0;1;0;0
38;21;600;220;0;0;1;0;0;0;1;0;0
39;21;600;220;0;1;0;0;0;0;0;1;0
40;21;600;220;0;0;1;0;0;0;0;1;0
41;25;600;220;0;1;0;0;1;0;0;0;0
42;25;600;220;0;0;1;0;1;0;0;0;0
43;25;600;220;0;1;0;0;0;1;0;0;0
44;25;600;220;0;0;1;0;0;1;0;0;0
45;25;600;220;0;1;0;0;0;0;1;0;0
46;25;600;220;0;0;1;0;0;0;1;0;0
47;25;600;220;0;1;0;0;0;0;0;1;0
48;25;600;220;0;0;1;0;0;0;0;1;0
49;27;600;220;0;1;0;0;1;0;0;0;0
50;27;600;220;0;0;1;0;1;0;0;0;0
51;27;600;220;0;1;0;0;0;1;0;0;0
52;27;600;220;0;0;1;0;0;1;0;0;0
53;27;600;220;0;1;0;0;0;0;1;0;0
54;27;600;220;0;0;1;0;0;0;1;0;0
55;27;600;220;0;1;0;0;0;0;0;1;0
56;27;600;220;0;0;1;0;0;0;0;1;0
57;21;800;220;0;0;1;0;1;0;0;0;0
58;21;800;220;0;0;1;0;0;1;0;0;0
59;21;800;220;0;0;1;0;0;0;1;0;0
60;21;800;220;0;0;1;0;0;0;0;1;0
61;25;800;220;0;0;1;0;1;0;0;0;0
62;25;800;220;0;0;1;0;0;1;0;0;0
63;25;800;220;0;0;1;0;0;0;1;0;0
64;25;800;220;0;0;1;0;0;0;0;1;0
65;27;800;220;0;0;1;0;1;0;0;0;0
66;27;800;220;0;0;1;0;0;1;0;0;0
67;27;800;220;0;0;1;0;0;0;1;0;0
68;27;800;220;0;0;1;0;0;0;0;1;0
69;12;400;285;1;0;0;0;1;0;0;0;0
70;12;400;285;1;0;0;0;0;1;0;0;0
71;12;400;285;1;0;0;0;0;0;1;0;0
72;12;400;285;1;0;0;0;0;0;0;1;0
73;14;400;285;1;0;0;0;1;0;0;0;0
74;14;400;285;1;0;0;0;0;1;0;0;0
75;14;400;285;1;0;0;0;0;0;1;0;0
76;14;400;285;1;0;0;0;0;0;0;1;0
77;15;400;285;1;0;0;0;1;0;0;0;0
78;15;400;285;1;0;0;0;0;1;0;0;0
79;15;400;285;1;0;0;0;0;0;1;0;0
80;15;400;285;1;0;0;0;0;0;0;1;0
81;17;400;285;1;0;0;0;1;0;0;0;0
82;17;400;285;1;0;0;0;0;1;0;0;0
83;17;400;285;1;0;0;0;0;0;1;0;0
84;17;400;285;1;0;0;0;0;0;0;1;0
85;12;600;285;1;0;0;0;1;0;0;0;0
86;12;600;285;1;0;0;0;0;1;0;0;0
87;12;600;285;1;0;0;0;0;0;1;0;0
88;12;600;285;1;0;0;0;0;0;0;1;0
89;14;600;285;1;0;0;0;1;0;0;0;0
90;14;600;285;1;0;0;0;0;1;0;0;0
91;14;600;285;1;0;0;0;0;0;1;0;0
92;14;600;285;1;0;0;0;0;0;0;1;0
93;15;600;285;1;0;0;0;1;0;0;0;0
94;15;600;285;1;0;0;0;0;1;0;0;0
95;15;600;285;1;0;0;0;0;0;1;0;0
96;15;600;285;1;0;0;0;0;0;0;1;0
97;17;600;285;1;0;0;0;1;0;0;0;0
98;17;600;285;1;0;0;0;0;1;0;0;0
99;17;600;285;1;0;0;0;0;0;1;0;0
100;17;600;285;1;0;0;0;0;0;0;1;0
101;21;600;285;0;1;0;0;1;0;0;0;0
102;21;600;285;0;0;1;0;1;0;0;0;0
103;21;600;285;0;1;0;0;0;1;0;0;0
104;21;600;285;0;0;1;0;0;1;0;0;0
105;21;600;285;0;1;0;0;0;0;1;0;0
106;21;600;285;0;0;1;0;0;0;1;0;0
107;21;600;285;0;1;0;0;0;0;0;1;0
108;21;600;285;0;0;1;0;0;0;0;1;0
109;25;600;285;0;1;0;0;1;0;0;0;0
110;25;600;285;0;0;1;0;1;0;0;0;0
111;25;600;285;0;1;0;0;0;1;0;0;0
112;25;600;285;0;0;1;0;0;1;0;0;0
113;25;600;285;0;1;0;0;0;0;1;0;0
114;25;600;285;0;0;1;0;0;0;1;0;0
115;25;600;285;0;1;0;0;0;0;0;1;0
116;25;600;285;0;0;1;0;0;0;0;1;0
117;27;600;285;0;1;0;0;1;0;0;0;0
118;27;600;285;0;0;1;0;1;0;0;0;0
119;27;600;285;0;1;0;0;0;1;0;0;0
120;27;600;285;0;0;1;0;0;1;0;0;0
121;27;600;285;0;1;0;0;0;0;1;0;0
122;27;600;285;0;0;1;0;0;0;1;0;0
123;27;600;285;0;1;0;0;0;0;0;1;0
124;27;600;285;0;0;1;0;0;0;0;1;0
125;21;800;285;0;0;1;0;1;0;0;0;0
126;21;800;285;0;0;1;0;0;1;0;0;0
127;21;800;285;0;0;1;0;0;0;1;0;0
128;21;800;285;0;0;1;0;0;0;0;1;0
129;25;800;285;0;0;1;0;1;0;0;0;0
130;25;800;285;0;0;1;0;0;1;0;0;0
131;25;800;285;0;0;1;0;0;0;1;0;0
132;25;800;285;0;0;1;0;0;0;0;1;0
133;27;800;285;0;0;1;0;1;0;0;0;0
134;27;800;285;0;0;1;0;0;1;0;0;0
135;27;800;285;0;0;1;0;0;0;1;0;0
136;27;800;285;0;0;1;0;0;0;0;1;0
137;21;600;350;0;0;1;0;1;0;0;0;0
138;21;600;350;0;0;1;0;0;1;0;0;0
139;21;600;350;0;0;1;0;0;0;1;0;0
140;21;600;350;0;0;1;0;0;0;0;1;0
141;25;600;350;0;0;1;0;1;0;0;0;0
142;25;600;350;0;0;1;0;0;1;0;0;0
143;25;600;350;0;0;1;0;0;0;1;0;0
144;25;600;350;0;0;1;0;0;0;0;1;0
145;27;600;350;0;0;1;0;1;0;0;0;0
146;27;600;350;0;0;1;0;0;1;0;0;0
147;27;600;350;0;0;1;0;0;0;1;0;0
148;27;600;350;0;0;1;0;0;0;0;1;0
149;21;800;350;0;0;1;0;1;0;0;0;0
150;21;800;350;0;0;1;0;0;1;0;0;0
151;21;800;350;0;0;1;0;0;0;1;0;0
152;21;800;350;0;0;1;0;0;0;0;1;0
153;25;800;350;0;0;1;0;1;0;0;0;0
154;25;800;350;0;0;1;0;0;1;0;0;0
155;25;800;350;0;0;1;0;0;0;1;0;0
156;25;800;350;0;0;1;0;0;0;0;1;0
157;27;800;350;0;0;1;0;1;0;0;0;0
158;27;800;350;0;0;1;0;0;1;0;0;0
159;27;800;350;0;0;1;0;0;0;1;0;0
160;27;800;350;0;0;1;0;0;0;0;1;0
161;27;1000;415;0;0;0;1;1;0;0;0;0
162;27;1000;415;0;0;0;1;0;1;0;0;0
163;27;1000;415;0;0;0;1;0;0;1;0;0
164;27;1000;415;0;0;0;1;0;0;0;1;0
165;30;1000;415;0;0;0;1;1;0;0;0;0
166;30;1000;415;0;0;0;1;0;1;0;0;0
167;30;1000;415;0;0;0;1;0;0;1;0;0
168;30;1000;415;0;0;0;1;0;0;0;1;0
169;31;1000;415;0;0;0;1;1;0;0;0;0
170;31;1000;415;0;0;0;1;0;1;0;0;0
171;31;1000;415;0;0;0;1;0;0;1;0;0
172;31;1000;415;0;0;0;1;0;0;0;1;0
173;34;1000;415;0;0;0;1;1;0;0;0;0
174;34;1000;415;0;0;0;1;0;1;0;0;0
175;34;1000;415;0;0;0;1;0;0;1;0;0
176;34;1000;415;0;0;0;1;0;0;0;1;0
