Choice situation;alt1.type;alt1.brand;alt1.kcal;alt1.gram;alt1.tax;alt2.type;alt2.brand;alt2.kcal;alt2.gram;alt2.tax;alt3.type;alt3.brand;alt3.kcal;alt3.gram;alt3.tax;Block
1;3;2;8;3;35;2;1;6;3;20;1;3;8;3,4;20;1
2;1;3;8;2,6;12;2;2;8;3;30;4;4;5;3,8;35;1
3;4;3;4;4,2;25;3;2;10;2,2;17;1;1;6;3;25;1
4;4;2;9;2,2;17;3;4;4;4,2;22;2;1;7;3,4;27;1
5;4;1;6;3,8;35;2;4;6;3,8;32;1;3;9;2,6;12;1
6;4;3;10;2,2;25;3;1;5;4,2;15;1;2;6;3,4;25;1
7;2;2;9;2,6;22;3;3;9;2,6;30;4;1;4;4,2;15;2
8;2;1;8;3;30;1;4;5;2,6;15;4;2;9;3,8;32;2
9;2;1;6;3;27;1;4;9;3,8;12;4;3;5;2,6;35;2
10;3;4;10;2,2;20;4;3;4;4,2;20;1;2;7;3;25;2
11;1;3;7;3,4;27;4;2;10;2,6;22;3;1;4;3,8;15;2
12;2;2;4;4,2;12;1;1;7;3,4;25;3;4;10;2,2;22;2
13;3;1;6;3;32;1;2;8;3,8;12;2;4;6;2,6;30;3
14;2;4;9;4,2;20;3;2;8;3,4;32;4;1;4;2,2;17;3
15;1;1;7;3,4;27;4;2;4;4,2;20;3;4;10;2,2;20;3
16;1;4;5;3,8;12;3;2;8;2,6;32;2;3;8;3;32;3
17;3;2;5;2,6;15;4;3;9;3,8;35;2;4;9;3,8;27;3
18;4;4;10;4,2;25;3;3;4;2,2;17;1;2;7;3,4;25;3
19;1;1;7;3,4;22;2;3;8;2,6;32;1;2;6;3,8;22;4
20;3;3;10;4,2;17;1;2;7;3;27;4;4;4;2,2;25;4
21;1;2;8;3,4;20;2;3;6;3,4;32;3;1;8;2,6;30;4
22;2;4;6;3,8;32;4;1;10;2,2;15;3;2;5;3,8;20;4
23;2;2;7;3;30;3;3;4;2,2;17;4;4;10;4,2;22;4
24;2;4;5;4,2;20;4;1;10;2,2;17;3;2;7;3,4;35;4
25;4;1;9;3,8;22;1;2;7;3,4;25;2;3;4;2,6;17;5
26;3;2;4;2,2;15;4;3;10;4,2;22;2;1;7;3;27;5
27;4;4;4;2,2;25;2;3;10;4,2;15;3;2;8;3,4;32;5
28;1;3;8;3,4;25;3;4;9;3,8;27;4;1;4;2,6;17;5
29;3;1;8;3;30;2;2;9;2,6;22;1;4;5;3,8;12;5
30;2;4;4;2,2;15;4;3;10;4,2;25;1;2;8;3;25;5
31;1;3;7;3;30;4;4;4;2,2;30;3;1;10;4,2;12;6
32;1;3;7;3,4;27;2;2;5;2,2;15;4;4;9;4,2;32;6
33;3;2;4;3,8;17;1;1;7;3,4;25;4;3;10;2,2;22;6
34;3;1;10;4,2;12;2;4;5;2,6;22;4;2;6;2,6;32;6
35;3;1;6;3,4;32;4;3;5;3,8;35;1;4;9;2,2;12;6
36;4;3;5;2,6;32;1;4;6;3;30;2;2;10;4,2;12;6
37;4;1;5;2,2;17;3;3;9;4,2;20;1;4;7;3,4;27;7
38;2;3;5;2,2;17;1;4;6;3;27;4;1;10;4,2;17;7
39;3;4;4;4,2;22;1;1;7;3,4;22;2;3;10;2,2;15;7
40;3;4;9;2,6;35;2;1;5;3,8;12;4;2;8;3;35;7
41;4;2;6;2,6;35;3;1;6;2,6;25;2;3;9;4,2;15;7
42;2;2;8;3,8;30;1;1;8;3,4;17;3;4;6;2,6;35;7
43;1;3;8;2,6;12;3;4;6;3,8;35;2;1;7;3,4;30;8
44;2;4;4;2,2;15;4;1;8;3,4;35;3;3;10;4,2;20;8
45;2;4;9;3,8;20;1;2;7;3,4;20;3;3;5;2,2;20;8
46;4;4;5;3,8;35;1;3;9;2,6;12;2;1;7;3;30;8
47;3;3;8;3;35;4;1;8;3;32;1;4;5;3,8;12;8
48;2;2;10;4,2;12;4;3;4;2,2;27;1;4;6;3;30;8
49;1;2;5;3;15;2;1;7;3;27;3;4;9;3,4;35;9
50;1;3;7;3,4;27;2;4;10;4,2;17;4;2;4;2,2;20;9
51;3;3;9;2,6;32;1;4;5;3,8;12;2;1;7;3;27;9
52;1;1;6;3;22;2;2;7;3,4;30;1;1;8;3,4;22;9
53;2;1;9;2,6;22;1;3;7;3;25;3;2;6;3,8;30;9
54;1;3;7;3,4;25;4;2;5;3,8;30;3;1;9;2,6;17;9
55;4;2;10;4,2;17;3;4;6;3;35;2;3;5;2,2;15;10
56;3;1;5;3,8;15;4;4;9;2,6;35;1;2;8;3;22;10
57;4;2;10;2,2;20;2;1;6;3;27;3;3;4;4,2;17;10
58;4;4;9;2,6;32;3;2;4;4,2;15;2;3;8;2,6;27;10
59;4;1;6;3,8;30;3;4;10;2,2;20;2;3;4;4,2;15;10
60;1;4;7;3,4;27;2;1;9;2,2;12;4;3;5;3,8;32;10
