"id","profileID","respID","qID","altID","obsID","gram","kcal","price","type_burger_classic","type_burger_premium","type_bundle_classic","type_bundle_premium","brand_mcdonalds","brand_burger_king","brand_max_burger","brand_wendys","no_choice","choice"
"1",2622,1,1,1,1,405,1080,40,0,0,0,1,0,1,0,0,0,0
"2",1226,1,1,2,1,405,825,26.5,0,0,0,1,1,0,0,0,0,0
"3",206,1,1,3,1,360,570,20.5,0,1,0,0,0,1,0,0,0,0
"4",0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1
"5",477,1,2,1,2,405,995,22.5,0,0,1,0,1,0,0,0,0,0
"6",206,1,2,2,2,360,570,20.5,0,1,0,0,0,1,0,0,0,0
"7",1226,1,2,3,2,405,825,26.5,0,0,0,1,1,0,0,0,0,0
"8",0,1,2,4,2,0,0,0,0,0,0,0,0,0,0,0,1,1
"9",1884,1,3,1,3,405,740,29.5,0,0,1,0,0,0,0,1,0,0
"10",2622,1,3,2,3,405,1080,40,0,0,0,1,0,1,0,0,0,0
"11",183,1,3,3,3,180,400,19.5,1,0,0,0,0,0,1,0,0,0
"12",0,1,3,4,3,0,0,0,0,0,0,0,0,0,0,0,1,1
"13",183,1,4,1,4,180,400,19.5,1,0,0,0,0,0,1,0,0,0
"14",428,1,4,2,4,315,740,22.5,0,0,1,0,0,1,0,0,0,0
"15",1275,1,4,3,4,360,1080,26.5,0,0,0,1,0,0,1,0,0,0
"16",0,1,4,4,4,0,0,0,0,0,0,0,0,0,0,0,1,1
"17",428,1,5,1,5,315,740,22.5,0,0,1,0,0,1,0,0,0,0
"18",477,1,5,2,5,405,995,22.5,0,0,1,0,1,0,0,0,0,0
"19",2622,1,5,3,5,405,1080,40,0,0,0,1,0,1,0,0,0,0
"20",0,1,5,4,5,0,0,0,0,0,0,0,0,0,0,0,1,1
"21",12,1,6,1,6,180,570,12,1,0,0,0,0,0,0,1,0,0
"22",183,1,6,2,6,180,400,19.5,1,0,0,0,0,0,1,0,0,0
"23",477,1,6,3,6,405,995,22.5,0,0,1,0,1,0,0,0,0,0
"24",0,1,6,4,6,0,0,0,0,0,0,0,0,0,0,0,1,1
"25",206,1,7,1,7,360,570,20.5,0,1,0,0,0,1,0,0,0,0
"26",1697,1,7,2,7,225,740,28.5,0,1,0,0,1,0,0,0,0,0
"27",12,1,7,3,7,180,570,12,1,0,0,0,0,0,0,1,0,0
"28",0,1,7,4,7,0,0,0,0,0,0,0,0,0,0,0,1,1
"29",1697,1,8,1,8,225,740,28.5,0,1,0,0,1,0,0,0,0,0
