"id","profile_id","respondent_id","question_id","alternative_id","observation_id","block_id","price","type_burger_classic","type_burger_premium","type_bundle_classic","type_bundle_premium","brand_mcdonalds","brand_burger_king","brand_max_burger","brand_wendys","no_choice","kcal","gram"
1,99,1,1,1,1,1,29,0,0,1,0,0,1,0,0,0,415,285
2,81,1,1,2,1,1,27,0,0,0,1,0,0,1,0,0,598,250
3,42,1,1,3,1,1,23,0,0,1,0,1,0,0,0,0,1060,190
4,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,NA,NA
5,42,1,2,1,2,1,23,0,0,1,0,1,0,0,0,0,452,243
6,99,1,2,2,2,1,29,0,0,1,0,0,1,0,0,0,616,413
7,134,1,2,3,2,1,37,0,0,0,1,0,1,0,0,0,737,326
8,0,1,2,4,2,0,0,0,0,0,0,0,0,0,0,1,NA,NA
9,103,1,3,1,3,1,29,0,0,1,0,0,0,0,1,0,458,241
10,134,1,3,2,3,1,37,0,0,0,1,0,1,0,0,0,562,196
11,81,1,3,3,3,1,27,0,0,0,1,0,0,1,0,0,627,203
12,0,1,3,4,3,0,0,0,0,0,0,0,0,0,0,1,NA,NA
13,81,1,4,1,4,1,27,0,0,0,1,0,0,1,0,0,550,296
14,46,1,4,2,4,1,23,0,0,1,0,0,0,1,0,0,404,209
15,99,1,4,3,4,1,29,0,0,1,0,0,1,0,0,0,645,269
16,0,1,4,4,4,0,0,0,0,0,0,0,0,0,0,1,NA,NA
17,134,1,5,1,5,1,37,0,0,0,1,0,1,0,0,0,570,282
18,103,1,5,2,5,1,29,0,0,1,0,0,0,0,1,0,690,183
19,46,1,5,3,5,1,23,0,0,1,0,0,0,1,0,0,1048,234
20,0,1,5,4,5,0,0,0,0,0,0,0,0,0,0,1,NA,NA
21,46,1,6,1,6,1,23,0,0,1,0,0,0,1,0,0,520,180
22,42,1,6,2,6,1,23,0,0,1,0,1,0,0,0,0,640,406
23,103,1,6,3,6,1,29,0,0,1,0,0,0,0,1,0,452,214
24,0,1,6,4,6,0,0,0,0,0,0,0,0,0,0,1,NA,NA
25,99,2,1,1,7,1,29,0,0,1,0,0,1,0,0,0,1078,231
26,81,2,1,2,7,1,27,0,0,0,1,0,0,1,0,0,551,322
27,42,2,1,3,7,1,23,0,0,1,0,1,0,0,0,0,468,214
28,0,2,1,4,7,0,0,0,0,0,0,0,0,0,0,1,NA,NA
29,42,2,2,1,8,1,23,0,0,1,0,1,0,0,0,0,640,261
30,99,2,2,2,8,1,29,0,0,1,0,0,1,0,0,0,1033,250
31,134,2,2,3,8,1,37,0,0,0,1,0,1,0,0,0,777,234
32,0,2,2,4,8,0,0,0,0,0,0,0,0,0,0,1,NA,NA
33,103,2,3,1,9,1,29,0,0,1,0,0,0,0,1,0,649,239
34,134,2,3,2,9,1,37,0,0,0,1,0,1,0,0,0,401,228
35,81,2,3,3,9,1,27,0,0,0,1,0,0,1,0,0,613,284
36,0,2,3,4,9,0,0,0,0,0,0,0,0,0,0,1,NA,NA
37,81,2,4,1,10,1,27,0,0,0,1,0,0,1,0,0,507,207
38,46,2,4,2,10,1,23,0,0,1,0,0,0,1,0,0,1043,266
39,99,2,4,3,10,1,29,0,0,1,0,0,1,0,0,0,473,235
40,0,2,4,4,10,0,0,0,0,0,0,0,0,0,0,1,NA,NA
41,134,2,5,1,11,1,37,0,0,0,1,0,1,0,0,0,444,286
42,103,2,5,2,11,1,29,0,0,1,0,0,0,0,1,0,531,414
43,46,2,5,3,11,1,23,0,0,1,0,0,0,1,0,0,1079,226
44,0,2,5,4,11,0,0,0,0,0,0,0,0,0,0,1,NA,NA
45,46,2,6,1,12,1,23,0,0,1,0,0,0,1,0,0,438,186
46,42,2,6,2,12,1,23,0,0,1,0,1,0,0,0,0,1097,224
47,103,2,6,3,12,1,29,0,0,1,0,0,0,0,1,0,1020,404
48,0,2,6,4,12,0,0,0,0,0,0,0,0,0,0,1,NA,NA
49,99,3,1,1,13,1,29,0,0,1,0,0,1,0,0,0,1052,294
50,81,3,1,2,13,1,27,0,0,0,1,0,0,1,0,0,637,252
51,42,3,1,3,13,1,23,0,0,1,0,1,0,0,0,0,482,265
52,0,3,1,4,13,0,0,0,0,0,0,0,0,0,0,1,NA,NA
53,42,3,2,1,14,1,23,0,0,1,0,1,0,0,0,0,1073,182
