id,created_at,respondent_id,age,gender,income,location,fast-food-frequency,education,brand-recall,brand-recognition,price-guess,dce,past-use,vigniette
47,2025-04-13 09:49:03.704122+00,21,23,mezczyzna,5000-7500,miasto-500,rzadziej-niz-raz-w-miesiacu,w-trakcie-studiow,"[""McDonalds"",""Burger king"",""Popeyes"",""KFC"",""Subway"",""max burger"",""wendys"",""taco bell"",""five guys"",""north fish""]","[""kfc"",""burger king"",""mcdonalds"",""subway"",""taco bell"",""wendys"",""max burger"",""popeyes""]","[""17"",""20"",""33""]","[""3"",""3"",""1"",""3"",""1"",""2""]","[""mcdonalds"",""burger king"",""kfc"",""subway"",""max burgers""]",read
48,2025-04-13 10:11:30.391262+00,56,24,mezczyzna,powyzej-10000,miasto-500,rzadziej-niz-raz-w-miesiacu,wyzsze,"[""KFC macdonald burger king""]","[""Kfc"",""Burger king"",""Macdonald"",""Subway"",""Nie wiem"",""Nie wiem"",""Nie wiem"",""Nie wiem""]","[""20"",""20"",""30""]","[""4"",""4"",""4"",""4"",""4"",""4""]","[""mcdonalds"",""kfc""]",read
49,2025-04-13 10:12:45.964388+00,3,26,kobieta,5000-7500,miasto-500,rzadziej-niz-raz-w-miesiacu,wyzsze,"[""McDonald's, Subway, KFC, Burger King""]","[""kfc"",""nie wiem"",""McDonald's "",""subway"",""nie wiem"",""nie wiem"",""nie wiem"",""nie wiem""]","[""22"",""20"",""35""]","[""4"",""4"",""4"",""4"",""4"",""4""]","[""mcdonalds"",""burger king"",""kfc"",""subway"",""north fish"",""five guys""]",read
50,2025-04-13 10:12:56.185875+00,151,24,kobieta,5000-7500,miasto-500,raz-w-tygodniu,wyzsze,"[""McDonald, kfc, subway, burgerking, maxburgers""]","[""Kfc"",""Burgerking"",""Mc Donald "",""Subway "",""Nie wiem "",""Nie wiem "",""Max burgers"",""Poppeyes""]","[""20"",""20"",""25""]","[""1"",""2"",""2"",""1"",""2"",""3""]","[""mcdonalds"",""burger king"",""kfc"",""subway"",""max burgers"",""popeyes"",""five guys""]",read
53,2025-04-13 10:13:38.09364+00,98,24,kobieta,1000-2500,miasto-150-500,czesciej-niz-raz-w-tygodniu,w-trakcie-studiow,"[""KFC, McDonald’s, Subway, Burger King, Wendy’s, Max Burgers""]","[""Kfc"",""Burger King "",""McDonald’s"",""Subway"",""TacoBell"",""Wendy’s"",""Max Burgers"",""Nie wiem""]","[""25"",""25"",""30""]","[""1"",""2"",""3"",""3"",""2"",""1""]","[""mcdonalds"",""burger king"",""kfc"",""subway"",""max burgers"",""north fish"",""popeyes""]",read
54,2025-04-13 10:13:42.535047+00,89,23,kobieta,2500-5000,miasto-500,rzadziej-niz-raz-w-miesiacu,wyzsze,"[""McDonald"",""KFC"",""Popeyes"",""Max Burger"",""Pizza Hut"",""Burger King"",""North Fish"",""Bobby Burger"",""Wendy's"",""Taco Bell""]","[""KFC"",""Burger King"",""McDonald"",""Subway"",""Taco Bell"",""Wendy's"",""Max Burger"",""Nie wiem""]","[""28"",""28"",""40""]","[""3"",""1"",""2"",""1"",""3"",""2""]","[""mcdonalds"",""burger king"",""kfc""]",read
55,2025-04-13 10:14:20.680763+00,165,23,inne,2500-5000,miasto-500,raz-w-miesiacu,wyzsze,"[""McDonald's"",""KFC"",""Subway"",""Thai Wok"",""northfish"",""Silver Dragon"",""Burger King"",""Max Burgers"",""Pasibus"",""Popeye's"",""Taco Bell"",""Pizza Hut"",""Domino's"",""Papa John's""]","[""kfc"",""burger king "",""McDonald's "",""Subway "",""Taco Bell "",""Wendy's "",""Max Burgers "",""Popeye's ""]","[""25"",""20"",""30""]","[""1"",""3"",""3"",""2"",""1"",""2""]","[""wendys"",""kfc"",""mcdonalds"",""burger king"",""subway"",""max burgers"",""north fish""]",read
56,2025-04-13 10:14:26.325375+00,18,23,mezczyzna,powyzej-10000,miast-50,raz-w-miesiacu,w-trakcie-studiow,"[""Mcdonalds, kfc, Burger King, max burgera, Wendys, 5 guys,""]","[""Kfc"",""Burger king "",""Mc donalds"",""Subway"",""Taco bell"",""Wendys"",""Max premium burgers "",""Nie wiem""]","[""15"",""30"",""30""]","[""1"",""3"",""1"",""2"",""1"",""2""]","[""mcdonalds"",""burger king"",""kfc"",""max burgers""]",read
57,2025-04-13 10:14:42.431235+00,134,28,kobieta,5000-7500,miasto-500,raz-w-miesiacu,wyzsze,"[""McDonald's burger King, Wendys, KFC, Subway""]","[""Kfc"",""Burger King "",""McDonald's "",""Subway"",""TacoBell"",""Wendys"",""Max Burger"",""Nie wiem""]","[""15"",""25"",""25""]","[""4"",""4"",""4"",""4"",""4"",""4""]","[""mcdonalds"",""burger king"",""wendys"",""kfc"",""subway"",""max burgers"",""north fish"",""five guys""]",read
58,2025-04-13 10:14:51.108192+00,185,23,kobieta,1000-2500,miasto-500,raz-w-miesiacu,w-trakcie-studiow,"[""McDonald"",""KFC"",""Burger King"",""North Fish""]","[""KFC"",""Burger King "",""McDonald’s"",""Subway"",""Nie wiem "",""Nie wiem "",""MaxBurgers"",""Nie wiem ""]","[""12"",""20"",""25""]","[""3"",""3"",""3"",""1"",""1"",""3""]","[""mcdonalds"",""burger king"",""kfc"",""north fish""]",read
