"respondent_id","choice","price","type_burger_classic","type_burger_premium","type_bundle_classic","type_bundle_premium","brand_mcdonalds","brand_burger_king","brand_max_burger","brand_wendys","no_choice","past.use_this","brand.recall_this","brand.recognition_this","age","gender","income","location","fast.food.frequency","education","market_awareness"
1,0,29,0,0,1,0,0,1,0,0,0,0,1,1,24,"kobieta","1000-2500","wies","raz-w-tygodniu","w-trakcie-studiow",10
1,1,27,0,0,0,1,0,0,1,0,0,0,0,1,24,"kobieta","1000-2500","wies","raz-w-tygodniu","w-trakcie-studiow",10
1,0,23,0,0,1,0,1,0,0,0,0,1,1,1,24,"kobieta","1000-2500","wies","raz-w-tygodniu","w-trakcie-studiow",10
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,"kobieta","1000-2500","wies","raz-w-tygodniu","w-trakcie-studiow",10
1,0,23,0,0,1,0,1,0,0,0,0,1,1,1,24,"kobieta","1000-2500","wies","raz-w-tygodniu","w-trakcie-studiow",10
1,0,29,0,0,1,0,0,1,0,0,0,0,1,1,24,"kobieta","1000-2500","wies","raz-w-tygodniu","w-trakcie-studiow",10
1,0,37,0,0,0,1,0,1,0,0,0,0,1,1,24,"kobieta","1000-2500","wies","raz-w-tygodniu","w-trakcie-studiow",10
1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,24,"kobieta","1000-2500","wies","raz-w-tygodniu","w-trakcie-studiow",10
1,0,29,0,0,1,0,0,0,0,1,0,0,1,1,24,"kobieta","1000-2500","wies","raz-w-tygodniu","w-trakcie-studiow",10
1,1,37,0,0,0,1,0,1,0,0,0,0,1,1,24,"kobieta","1000-2500","wies","raz-w-tygodniu","w-trakcie-studiow",10
1,0,27,0,0,0,1,0,0,1,0,0,0,0,1,24,"kobieta","1000-2500","wies","raz-w-tygodniu","w-trakcie-studiow",10
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,"kobieta","1000-2500","wies","raz-w-tygodniu","w-trakcie-studiow",10
1,1,27,0,0,0,1,0,0,1,0,0,0,0,1,24,"kobieta","1000-2500","wies","raz-w-tygodniu","w-trakcie-studiow",10
1,0,23,0,0,1,0,0,0,1,0,0,0,0,1,24,"kobieta","1000-2500","wies","raz-w-tygodniu","w-trakcie-studiow",10
1,0,29,0,0,1,0,0,1,0,0,0,0,1,1,24,"kobieta","1000-2500","wies","raz-w-tygodniu","w-trakcie-studiow",10
