"respondent_id","question_id","respondent_question_id","alternative_id","choice","price","gram","kcal","type_burger_classic","type_burger_premium","type_bundle_classic","type_bundle_premium","brand_mcdonalds","brand_burger_king","brand_max_burger","brand_wendys","is_well_known","is_bundle","is_premium","no_choice","past.use_this","brand.recall_this","brand.recognition_this","age","gender","income","location","fast.food.frequency","education","total_recalled","total_recognized","avg_price_guess_diff"
1,1,"1_1",1,0,29,285,415,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,24,"kobieta","1000-2500","wies","raz-w-tygodniu","w-trakcie-studiow",7,8,8.23
1,1,"1_1",2,1,27,250,598,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,24,"kobieta","1000-2500","wies","raz-w-tygodniu","w-trakcie-studiow",7,8,8.23
1,1,"1_1",3,0,23,190,1060,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,24,"kobieta","1000-2500","wies","raz-w-tygodniu","w-trakcie-studiow",7,8,8.23
1,1,"1_1",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,"kobieta","1000-2500","wies","raz-w-tygodniu","w-trakcie-studiow",7,8,8.23
1,2,"1_2",1,0,23,243,452,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,24,"kobieta","1000-2500","wies","raz-w-tygodniu","w-trakcie-studiow",7,8,8.23
1,2,"1_2",2,0,29,413,616,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,24,"kobieta","1000-2500","wies","raz-w-tygodniu","w-trakcie-studiow",7,8,8.23
1,2,"1_2",3,0,37,326,737,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,24,"kobieta","1000-2500","wies","raz-w-tygodniu","w-trakcie-studiow",7,8,8.23
1,2,"1_2",4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,"kobieta","1000-2500","wies","raz-w-tygodniu","w-trakcie-studiow",7,8,8.23
1,3,"1_3",1,0,29,241,458,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,24,"kobieta","1000-2500","wies","raz-w-tygodniu","w-trakcie-studiow",7,8,8.23
1,3,"1_3",2,1,37,196,562,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,24,"kobieta","1000-2500","wies","raz-w-tygodniu","w-trakcie-studiow",7,8,8.23
1,3,"1_3",3,0,27,203,627,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,24,"kobieta","1000-2500","wies","raz-w-tygodniu","w-trakcie-studiow",7,8,8.23
