"respondent_id","brand.recall","brand.recognition"
427,"mcdonalds; wendys; kfc; burgerking; maxburgers; popeyes; thaiwok; tacobell; subway","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
435,"mcdonalds; burgerking; kfc; subway","kfc; burgerking; mcdonalds; subway; maxburgers"
25,"mcdonalds; popeyes; wendys; tacobell; kfc; maxburgers; burgerking; subway; northfish; chipotle","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
485,"mcdonalds; kfc; burgerking; maxburgers; pasibus; wendys; popeyes; tacobell; pizzahut; subway","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
97,"mcdonalds; kfc; pizzahut; northfish; burgerking; subway; dominospizza","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
155,"mcdonalds; kfc; zahirkebab; wendys; maxburgers; northfish; burgerking; popeyes","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers"
53,"mcdonalds; kfc; burgerking; wendys; kebabking","kfc; burgerking; mcdonalds; subway; wendys; maxburgers"
43,"mcdonalds; pasibus; kfc; burgerking; subway; northfish; maxburgers","kfc; burgerking; mcdonalds; subway; tacobell; maxburgers"
76,"kfc; mcdonalds; burgerking; maxburgers; subway; pizzahut; wendys; popeyes; tacobell; dunkindonuts","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
109,"mcdonalds; kfc; tacobell; popeyes","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
87,"kfc; mcdonalds; burgerking; wendys; popeyes; subway","kfc; burgerking; mcdonalds; subway; wendys; maxburgers; popeyes"
163,"kfc; mcdonalds; burgerking","kfc; burgerking; mcdonalds; subway; maxburgers"
126,"mcdonalds; kfc; subway; burgerking; fiveguys","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers"
272,"mcdonalds; kfc; burgerking; subway; telepizza; pizzahut","kfc; burgerking; mcdonalds; subway"
363,"mcdonalds; kfc; subway","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers"
85,"mcdonalds; tacobell; burgerking; kfc; wendys; innout; subway","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
