id,created_at,respondent_id,age,gender,income,location,fast-food-frequency,education,brand-recall,brand-recognition,price-guess,dce,past-use,vigniette
1,2025-07-09 17:39:23.806318+00,427,23,mezczyzna,5000-7500,miasto-500,rzadziej-niz-raz-w-miesiacu,wyzsze,"[""mcdonalds"",""wendys"",""kfc"",""burger king"",""maxburgers"",""popeys"",""thaiwok"",""tacobell"",""subway""]","[""kfc"",""burgerking"",""mcdonalds"",""subway"",""tacobell"",""wendys"",""maxburgers"",""popeyes""]","[""17"",""21"",""28""]","[""1"",""3"",""1"",""3"",""1"",""3""]","[""mcdonalds"",""burger king"",""kfc"",""subway"",""max burgers""]",read
2,2025-07-09 17:46:14.711951+00,435,19,mezczyzna,ponizej-1000,miast-50,rzadziej-niz-raz-w-miesiacu,w-trakcie-studiow,"[""mcdonalds"",""burgerking"",""kfc"",""subway""]","[""kfc"",""burger king"",""mcdonalds"",""subway"",""nie wiem"",""nie wiem"",""max burgers"",""nie wiem""]","[""14"",""17"",""25""]","[""1"",""3"",""2"",""3"",""3"",""3""]","[""mcdonalds"",""burger king"",""kfc""]",read
3,2025-07-09 18:00:08.402777+00,25,25,kobieta,2500-5000,miasto-500,rzadziej-niz-raz-w-miesiacu,wyzsze,"[""McDonald's"",""Popeye's"",""Wendy's"",""Taco bell"",""Kfc"",""Max burger"",""Burger king"",""Subway"",""North fish"",""Chipotle""]","[""Kfc"",""Burger king"",""Macdonald"",""Subway"",""Taco bell "",""Wendy's "",""Max burger "",""Popeye's ""]","[""10"",""10"",""22""]","[""1"",""1"",""2"",""2"",""3"",""2""]","[""mcdonalds"",""burger king"",""kfc"",""subway"",""max burgers"",""north fish"",""popeyes""]",read
5,2025-07-09 18:06:18.047883+00,485,23,kobieta,1000-2500,miasto-500,raz-w-miesiacu,wyzsze,"[""mc donald's"",""kfc"",""burger king"",""max burger"",""pasibus"",""wendy's"",""popeye's"",""taco bell"",""pizza hut"",""subway""]","[""kfc"",""burger king"",""mc donald's"",""subway"",""taco bell"",""wendy's"",""max"",""popeye's""]","[""25"",""18"",""32""]","[""4"",""4"",""3"",""4"",""2"",""4""]","[""mcdonalds"",""burger king"",""kfc"",""subway"",""max burgers"",""popeyes""]",read
6,2025-07-09 18:12:07.944138+00,97,23,mezczyzna,1000-2500,miasto-500,raz-w-tygodniu,w-trakcie-studiow,"[""Mc'donalds"",""KFC"",""Pizza Hut"",""Starbucks"",""Nordfish"",""Burger king"",""Subway"",""Domino's Pizza""]","[""KFC"",""Burger King"",""Mc'donalds"",""Subway"",""Tacobell"",""Wendy's"",""Max burgers"",""Popeyos""]","[""18"",""20"",""22""]","[""2"",""2"",""2"",""2"",""3"",""1""]","[""mcdonalds"",""burger king"",""kfc"",""popeyes""]",read
7,2025-07-09 18:13:26.909272+00,155,23,mezczyzna,ponizej-1000,miasto-500,raz-w-tygodniu,w-trakcie-studiow,"[""McDonald"",""KFC"",""Zahir Kebab"",""United chicken"",""Wendys"",""Max burger"",""north fish"",""burger king"",""popeye""]","[""kfc"",""burger king"",""mcdonald"",""subway"",""taco bell"",""wendys"",""max burger"",""nie wiem""]","[""22"",""25"",""37""]","[""3"",""3"",""3"",""2"",""3"",""2""]","[""mcdonalds"",""burger king"",""kfc""]",read
8,2025-07-09 18:13:51.58725+00,53,24,mezczyzna,2500-5000,miasto-500,raz-w-miesiacu,wyzsze,"[""McDonald"",""KFC"",""Burger King"",""Wendys"",""Kebab King""]","[""KFC"",""Burger King"",""McDonald's "",""Subway"",""nie wiem"",""Wendy's "",""Max burgers"",""nie wiem""]","[""21"",""24"",""38""]","[""3"",""3"",""3"",""2"",""3"",""1""]","[""mcdonalds"",""burger king"",""kfc"",""subway"",""max burgers"",""north fish""]",read
9,2025-07-09 18:15:53.540686+00,43,24,kobieta,1000-2500,wies,raz-w-miesiacu,wyzsze,"[""McDonald's, Pasi bus, KFC, Burger King, Subway, North Fish, Maxx Burger's""]","[""KFC"",""Burger King "",""McDonald's "",""Subway "",""Taco Bell's "",""Nie wiem "",""Max Burgers "",""Nie znam""]","[""20"",""25"",""30""]","[""1"",""3"",""2"",""1"",""4"",""1""]","[""mcdonalds"",""burger king"",""kfc"",""subway""]",read
10,2025-07-09 18:18:18.050273+00,76,26,kobieta,2500-5000,miasto-500,raz-w-tygodniu,w-trakcie-studiow,"[""Kfc"",""McDonald"",""Burger King"",""Mac Burgers"",""Subway"",""Pizza Hut"",""Wendys"",""Popeyes"",""Taco Bell"",""Dunkin Donuts""]","[""Kfc"",""Burger King"",""Mcdonald "",""Subway"",""Taco Bell"",""Wendys"",""Max Burgers"",""Popeyes""]","[""29"",""32"",""35""]","[""4"",""2"",""2"",""1"",""3"",""3""]","[""mcdonalds"",""burger king"",""kfc"",""subway"",""max burgers"",""popeyes""]",read
11,2025-07-09 18:21:29.906147+00,109,25,mezczyzna,7500-10000,miasto-500,raz-w-miesiacu,srednie,"[""McDonald's"",""KFC"",""Taco Bell"",""Popeye's""]","[""KFC"",""Burger King"",""MCD"",""Subway"",""Taco Bell"",""Wendy's"",""MaxBurger"",""Popeye's""]","[""22"",""25"",""28""]","[""3"",""1"",""3"",""1"",""3"",""1""]","[""mcdonalds"",""burger king"",""kfc"",""subway"",""max burgers"",""north fish"",""popeyes""]",read
