"respondent_id","question_id","alternative_id","choice","price","gram","kcal","type_burger_classic","type_burger_premium","type_bundle_classic","type_bundle_premium","brand_mcdonalds","brand_burger_king","brand_max_burger","brand_wendys","is_well_known","is_bundle","is_premium","no_choice","past.use_this","brand.recall_this","brand.recognition_this","age","gender","income","location","fast.food.frequency","education","total_recalled","total_recognized","avg_price_guess_diff","respondent_question_id"
509,1,1,0,20,340,800,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,22,"mezczyzna","5000-7500","miasto-50-150","raz-w-miesiacu","srednie",6,8,6.23,"509_1"
509,1,2,0,32,340,800,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,22,"mezczyzna","5000-7500","miasto-50-150","raz-w-miesiacu","srednie",6,8,6.23,"509_1"
509,1,3,1,17,260,500,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,22,"mezczyzna","5000-7500","miasto-50-150","raz-w-miesiacu","srednie",6,8,6.23,"509_1"
509,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,"mezczyzna","5000-7500","miasto-50-150","raz-w-miesiacu","srednie",6,8,6.23,"509_1"
509,2,1,0,32,220,500,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,22,"mezczyzna","5000-7500","miasto-50-150","raz-w-miesiacu","srednie",6,8,6.23,"509_2"
509,2,2,0,22,300,700,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,22,"mezczyzna","5000-7500","miasto-50-150","raz-w-miesiacu","srednie",6,8,6.23,"509_2"
509,2,3,1,17,420,900,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,22,"mezczyzna","5000-7500","miasto-50-150","raz-w-miesiacu","srednie",6,8,6.23,"509_2"
509,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,"mezczyzna","5000-7500","miasto-50-150","raz-w-miesiacu","srednie",6,8,6.23,"509_2"
509,3,1,0,20,340,700,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,22,"mezczyzna","5000-7500","miasto-50-150","raz-w-miesiacu","srednie",6,8,6.23,"509_3"
509,3,2,1,15,260,500,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,22,"mezczyzna","5000-7500","miasto-50-150","raz-w-miesiacu","srednie",6,8,6.23,"509_3"
509,3,3,0,35,380,900,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,22,"mezczyzna","5000-7500","miasto-50-150","raz-w-miesiacu","srednie",6,8,6.23,"509_3"
509,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,"mezczyzna","5000-7500","miasto-50-150","raz-w-miesiacu","srednie",6,8,6.23,"509_3"
509,4,1,0,32,300,900,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,22,"mezczyzna","5000-7500","miasto-50-150","raz-w-miesiacu","srednie",6,8,6.23,"509_4"
509,4,2,1,12,380,400,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,22,"mezczyzna","5000-7500","miasto-50-150","raz-w-miesiacu","srednie",6,8,6.23,"509_4"
509,4,3,0,30,300,800,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,22,"mezczyzna","5000-7500","miasto-50-150","raz-w-miesiacu","srednie",6,8,6.23,"509_4"
509,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,"mezczyzna","5000-7500","miasto-50-150","raz-w-miesiacu","srednie",6,8,6.23,"509_4"
509,5,1,0,27,260,600,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,22,"mezczyzna","5000-7500","miasto-50-150","raz-w-miesiacu","srednie",6,8,6.23,"509_5"
509,5,2,0,25,260,500,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,22,"mezczyzna","5000-7500","miasto-50-150","raz-w-miesiacu","srednie",6,8,6.23,"509_5"
509,5,3,1,15,420,1000,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,22,"mezczyzna","5000-7500","miasto-50-150","raz-w-miesiacu","srednie",6,8,6.23,"509_5"
509,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,"mezczyzna","5000-7500","miasto-50-150","raz-w-miesiacu","srednie",6,8,6.23,"509_5"
509,6,1,0,25,260,900,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,22,"mezczyzna","5000-7500","miasto-50-150","raz-w-miesiacu","srednie",6,8,6.23,"509_6"
509,6,2,0,32,260,800,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,22,"mezczyzna","5000-7500","miasto-50-150","raz-w-miesiacu","srednie",6,8,6.23,"509_6"
509,6,3,1,12,420,400,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,22,"mezczyzna","5000-7500","miasto-50-150","raz-w-miesiacu","srednie",6,8,6.23,"509_6"
509,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,"mezczyzna","5000-7500","miasto-50-150","raz-w-miesiacu","srednie",6,8,6.23,"509_6"
536,1,1,1,20,340,800,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,24,"mezczyzna","7500-10000","miasto-500","raz-w-tygodniu","w-trakcie-studiow",11,8,4.23,"536_1"
536,1,2,0,32,340,800,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,24,"mezczyzna","7500-10000","miasto-500","raz-w-tygodniu","w-trakcie-studiow",11,8,4.23,"536_1"
536,1,3,0,17,260,500,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,24,"mezczyzna","7500-10000","miasto-500","raz-w-tygodniu","w-trakcie-studiow",11,8,4.23,"536_1"
536,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,"mezczyzna","7500-10000","miasto-500","raz-w-tygodniu","w-trakcie-studiow",11,8,4.23,"536_1"
536,2,1,0,32,220,500,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,24,"mezczyzna","7500-10000","miasto-500","raz-w-tygodniu","w-trakcie-studiow",11,8,4.23,"536_2"
536,2,2,0,22,300,700,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,24,"mezczyzna","7500-10000","miasto-500","raz-w-tygodniu","w-trakcie-studiow",11,8,4.23,"536_2"
536,2,3,1,17,420,900,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,24,"mezczyzna","7500-10000","miasto-500","raz-w-tygodniu","w-trakcie-studiow",11,8,4.23,"536_2"
536,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,"mezczyzna","7500-10000","miasto-500","raz-w-tygodniu","w-trakcie-studiow",11,8,4.23,"536_2"
536,3,1,0,20,340,700,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,24,"mezczyzna","7500-10000","miasto-500","raz-w-tygodniu","w-trakcie-studiow",11,8,4.23,"536_3"
536,3,2,1,15,260,500,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,24,"mezczyzna","7500-10000","miasto-500","raz-w-tygodniu","w-trakcie-studiow",11,8,4.23,"536_3"
536,3,3,0,35,380,900,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,24,"mezczyzna","7500-10000","miasto-500","raz-w-tygodniu","w-trakcie-studiow",11,8,4.23,"536_3"
536,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,"mezczyzna","7500-10000","miasto-500","raz-w-tygodniu","w-trakcie-studiow",11,8,4.23,"536_3"
536,4,1,0,32,300,900,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,24,"mezczyzna","7500-10000","miasto-500","raz-w-tygodniu","w-trakcie-studiow",11,8,4.23,"536_4"
536,4,2,0,12,380,400,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,24,"mezczyzna","7500-10000","miasto-500","raz-w-tygodniu","w-trakcie-studiow",11,8,4.23,"536_4"
536,4,3,1,30,300,800,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,24,"mezczyzna","7500-10000","miasto-500","raz-w-tygodniu","w-trakcie-studiow",11,8,4.23,"536_4"
536,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,"mezczyzna","7500-10000","miasto-500","raz-w-tygodniu","w-trakcie-studiow",11,8,4.23,"536_4"
536,5,1,0,27,260,600,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,24,"mezczyzna","7500-10000","miasto-500","raz-w-tygodniu","w-trakcie-studiow",11,8,4.23,"536_5"
536,5,2,0,25,260,500,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,24,"mezczyzna","7500-10000","miasto-500","raz-w-tygodniu","w-trakcie-studiow",11,8,4.23,"536_5"
536,5,3,1,15,420,1000,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,24,"mezczyzna","7500-10000","miasto-500","raz-w-tygodniu","w-trakcie-studiow",11,8,4.23,"536_5"
536,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,"mezczyzna","7500-10000","miasto-500","raz-w-tygodniu","w-trakcie-studiow",11,8,4.23,"536_5"
