"id","created_at","respondent_id","age","gender","income","location","fast.food.frequency","education","brand.recall","brand.recognition","price.guess","dce","past.use","vigniette"
1,"2025-07-17 17:00:27.668881+00",896,27,"mezczyzna","7500-10000","miasto-50-150","raz-w-miesiacu","wyzsze","[""mcdonalds"",""kfc"",""burgerking"",""maxburger"",""subway"",""northfish""]","[""kfc"",""nie wiem"",""mcdonalds"",""subway"",""taco bell"",""wendys"",""nie wiem"",""nie wiem""]","[""15"",""20"",""25""]","[""3"",""1"",""2"",""1"",""2"",""1""]","[""mcdonalds"",""burger king"",""kfc"",""max burgers"",""north fish""]","read"
2,"2025-07-17 17:00:35.891759+00",854,24,"inne","1000-2500","miasto-500","raz-w-miesiacu","w-trakcie-studiow","[""McDonalds"",""KFC"",""Burger King"",""Popeye""]","[""KFC"",""Burger King"",""McDonalds"",""Subway"",""nie wiem"",""Wendy's"",""nie wiem"",""nie wiem""]","[""30"",""30"",""40""]","[""1"",""3"",""3"",""2"",""3"",""2""]","[""mcdonalds"",""kfc"",""subway""]","read"
3,"2025-07-17 18:04:24.08356+00",700,23,"kobieta","2500-5000","miast-50","raz-w-miesiacu","w-trakcie-studiow","[""McDonald's"",""KFC"",""Zahir Kebab"",""Burger King""]","[""KFC "",""Burger King "",""Macdonald"",""Subway "",""Nie wiem"",""Wendy's "",""Nie wiem"",""Nie wiem""]","[""6"",""7"",""14""]","[""1"",""2"",""1"",""1"",""1"",""1""]","[""mcdonalds"",""burger king"",""kfc"",""subway""]","read"
5,"2025-07-17 18:08:30.14518+00",802,19,"kobieta","2500-5000","miast-50","rzadziej-niz-raz-w-miesiacu","w-trakcie-studiow","[""mcdonald"",""kfc"",""max burger"",""popeyes"",""tacobell"",""wingstop"",""canes"",""five guys"",""wendys""]","[""kfc "",""burger king "",""mcdonald "",""subway "",""tacobell"",""wendys "",""max burgers "",""nie wiem ""]","[""25"",""25"",""30""]","[""2"",""1"",""2"",""1"",""3"",""1""]","[""mcdonalds"",""burger king"",""kfc"",""five guys"",""popeyes"",""max burgers"",""subway"",""north fish""]","read"
6,"2025-07-17 18:24:26.860133+00",891,30,"kobieta","2500-5000","miasto-50-150","raz-w-miesiacu","w-trakcie-studiow","[""McDonald's, KFC, Burger King, Mr Hamburger, Max Burgers, Popeyes, Subway, Pizza Hut,  Taco Bell, Wendy's""]","[""KFC"",""Burger King"",""McDonald's"",""Subway"",""Taco Bell"",""Wendy's"",""Max Burgers"",""Popeyes""]","[""25"",""23"",""32""]","[""3"",""3"",""1"",""3"",""3"",""1""]","[""mcdonalds"",""burger king"",""kfc"",""subway"",""max burgers"",""popeyes""]","read"
7,"2025-07-17 18:41:54.722983+00",547,27,"kobieta","2500-5000","wies","rzadziej-niz-raz-w-miesiacu","wyzsze","[""KFC, Max Burger, McDonald""]","[""KFC"",""Nie wiem"",""McDonalds"",""Subway"",""Nie wiem"",""Nie wiem"",""Max burger"",""Nie wiem""]","[""18"",""22"",""26""]","[""2"",""3"",""2"",""3"",""1"",""3""]","[""mcdonalds"",""kfc"",""subway""]","read"
8,"2025-07-17 18:55:42.169873+00",780,24,"mezczyzna","2500-5000","miasto-500","raz-w-tygodniu","wyzsze","[""McDonald's"",""KFC"",""Burger King"",""Taco Bell"",""Popeye's"",""Subway"",""Wendy's"",""Max Burger"",""Dunkin Donuts"",""In-N-Out"",""North Fish""]","[""KFC"",""Burger King"",""McDonald's"",""Subway"",""Taco Bell"",""Wendy's"",""Max Burgers"",""nie wiem""]","[""15"",""12"",""31""]","[""1"",""1"",""3"",""2"",""1"",""1""]","[""mcdonalds"",""burger king"",""kfc""]","read"
10,"2025-07-17 21:17:14.437226+00",545,22,"kobieta","2500-5000","wies","raz-w-miesiacu","w-trakcie-studiow","[""McDonalds"",""KFC"",""Subway"",""Starbucks""]","[""KFC"",""Nie wiem "",""McDonald "",""Subway"",""Taco Bell"",""Wendys"",""Nie wiem"",""Poppeys""]","[""11.50"",""10.50"",""29.50""]","[""2"",""3"",""3"",""1"",""1"",""2""]","[""mcdonalds"",""burger king"",""kfc"",""five guys""]","read"
11,"2025-07-17 22:07:52.716721+00",770,27,"kobieta","2500-5000","miasto-500","rzadziej-niz-raz-w-miesiacu","wyzsze","[""McDonald’s"",""KFC"",""Wendy’s"",""Popeyes"",""MaxBurgers"",""North Fish"",""Subway""]","[""KFC"",""Nie wiem "",""McDonald’s "",""Subway"",""Taco Bell"",""Wendy’s"",""MaxBurgers"",""Popeyes""]","[""24"",""23"",""35""]","[""1"",""1"",""2"",""4"",""1"",""1""]","[""mcdonalds"",""burger king"",""kfc"",""subway"",""max burgers"",""five guys""]","read"
13,"2025-07-18 08:28:36.749643+00",765,23,"kobieta","2500-5000","miasto-150-500","raz-w-miesiacu","wyzsze","[""McDonalds, KFC, Burger King, Subway""]","[""KFC"",""Burger King "",""McDonalds"",""Subway"",""nie wiem"",""nie wiem"",""nie wiem"",""nie wiem""]","[""15"",""15"",""20""]","[""4"",""4"",""2"",""4"",""1"",""3""]","[""mcdonalds"",""burger king"",""kfc"",""subway"",""north fish""]","read"
14,"2025-07-18 15:09:02.832896+00",875,22,"mezczyzna","5000-7500","miasto-150-500","raz-w-miesiacu","w-trakcie-studiow","[""Kfc, mcdonalds, burger king""]","[""Kfc"",""Burger king"",""McDonalds"",""Subway"",""Taco bell"",""Nie wiem"",""Nie wiem"",""Poppeyes""]","[""16"",""18"",""30""]","[""3"",""1"",""2"",""1"",""2"",""1""]","[""mcdonalds"",""burger king"",""kfc"",""popeyes""]","read"
15,"2025-07-18 16:37:05.992612+00",986,21,"kobieta","2500-5000","wies","raz-w-miesiacu","srednie","[""McDonald, KFC, Burger King, Subwey, pizza hut""]","[""KFC"",""Burger king"",""McDonald "",""Subwey "",""Nie wiem "",""Wendys"",""Nie wiem "",""Nie wiem ""]","[""24"",""20"",""35""]","[""1"",""3"",""2"",""2"",""2"",""2""]","[""mcdonalds"",""burger king"",""kfc"",""subway""]","read"
16,"2025-07-19 07:28:28.729846+00",614,22,"kobieta","2500-5000","wies","raz-w-miesiacu","wyzsze","[""McDonald, KFC, Burger King, Berlin Doner Kebab, PizzaHat, Wendys, taco bell, dominos pizza, da’grasso""]","[""Kfc"",""Burger King"",""McDonald "",""Subway"",""Taco bell"",""Wendy’s"",""Nie wiem"",""Nie wiem""]","[""25"",""30"",""40""]","[""2"",""4"",""1"",""2"",""3"",""1""]","[""mcdonalds"",""burger king"",""kfc"",""subway""]","read"
18,"2025-07-19 17:46:02.677066+00",739,28,"mezczyzna","2500-5000","miasto-500","czesciej-niz-raz-w-tygodniu","srednie","[""Mcdonald""]","[""Kfc"",""Burgerking"",""Mc donald"",""Subway"",""Tacobell"",""Wendys"",""Max burger"",""Popeys""]","[""23.9"",""22.9"",""32.9""]","[""2"",""1"",""1"",""3"",""1"",""3""]","[""mcdonalds"",""burger king"",""kfc"",""subway"",""max burgers"",""north fish"",""popeyes""]","read"
20,"2025-07-20 15:45:49.550937+00",730,27,"kobieta","2500-5000","miasto-500","rzadziej-niz-raz-w-miesiacu","wyzsze","[""McDonald's, KFC, Burger King""]","[""KFC"",""Burger King"",""McDonald's"",""Subway"",""nie wiem "",""nie wiem"",""nie wiem"",""nie wiem""]","[""13"",""15"",""25""]","[""3"",""3"",""1"",""2"",""1"",""1""]","[""mcdonalds"",""burger king"",""kfc"",""subway"",""north fish"",""popeyes""]","read"
