"respondent_id","brand.recall","brand.recognition"
21,"mcdonalds; burgerking; popeyes; kfc; subway; maxburgers; wendys; tacobell; fiveguys; northfish","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
56,"kfc; mcdonalds; burgerking","kfc; burgerking; mcdonalds; subway; niewiem"
3,"mcdonalds; subway; kfc; burgerking","kfc; niewiem; mcdonalds; subway"
151,"mcdonalds; kfc; subway; burgerking; maxburgers","kfc; burgerking; mcdonalds; subway; niewiem; maxburgers; popeyes"
98,"kfc; mcdonalds; subway; burgerking; wendys; maxburgers","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; niewiem"
89,"mcdonalds; kfc; popeyes; maxburgers; pizzahut; burgerking; northfish; bobbyburger; wendys; tacobell","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; niewiem"
165,"mcdonalds; kfc; subway; thaiwok; northfish; silverdragon; burgerking; maxburgers; pasibus; popeyes; tacobell; pizzahut; dominos; papajohns","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
18,"mcdonalds; kfc; burgerking; maxburgers; wendys; 5guys","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; niewiem"
134,"mcdonalds; burgerking; wendys; kfc; subway","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; niewiem"
185,"mcdonalds; kfc; burgerking; northfish","kfc; burgerking; mcdonalds; subway; niewiem; maxburgers"
191,"mcdonalds; kfc; burgerking; popeyes; pizzahut; telepizza; dominospizza","kfc; burgerking; mcdonalds; subway; niewiem; maxburgers; popeyes"
163,"mcdonalds; maxburgers; subway; kfc; dunkindonuts; thaiwok; fiveguys; chuckecheese; chipotle; saladstory","kfc; burgerking; mcdonalds; subway; niewiem; wendys; maxburgers"
23,"mcdonalds; kfc; maxburgers; northfish; burgerking","kfc; burgerking; mcdonalds; subway; niewiem; maxburgers"
85,"mcdonalds; kfc; burgerking; subway","kfc; burgerking; mcdonalds; subway; niewiem; maxburgers"
195,"popeyes; mcdonalds; kfc; burgerking; subway","kfc; burgerking; mcdonalds; subway; niewiem; wendys"
187,"mcdonalds; kfc; maxburgers; popeyes; subway; burgerking; thaiwok; fiveguys; innout","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
47,"mcdonalds; kfc; burgerking; popeyes; tacobell; subway","kfc; popeyes; mcdonalds; subway; tacobell; wendys; maxburgers; niewiem"
4,"mcdonalds; kfc; wendys; maxburgers; popeyes; tacobell; burgerking; pizzahut; dominos","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; niewiem"
2,"mcdonalds; kfc; burgerking; subway; popeyes; wendys; chipotle; kebabking; thaiwok; northfish; saladstory; pasibus","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
68,"mcdonalds; subway; kfc; burgerking; maxburgers","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers"
118,"kfc; mcdonalds; burgerking; subway","kfc; burgerking; mcdonalds; subway; niewiem"
178,"mcdonalds; burgerking; kfc; popeyes; subway","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
29,"mcdonalds; popeyes; kfc; tacobell","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
38,"mcdonalds; kfc; burgerking; maxburgers; northfish; pasibus; saladstory; thaiwok; silverdragon","kfc; burgerking; mcdonalds; subway; niewiem; maxburgers"
7,"maxburgers; mcdonalds; kfc; tacobell; burgerking; wendys","kfc; niewiem; mcdonalds; subway; tacobell; wendys; maxburgers"
9,"mcdonalds; kfc; burgerking; subway; kebabking; amirkebab","kfc; burgerking; mcdonalds; subway; niewiem; maxburgers"
25,"mcdonalds; kfc; wendys; burgerking; subway; maxburgers; matsuya; mosburger","kfc; niewiem; mcdonalds; subway; tacobell; wendys; maxburgers"
175,"mcdonalds; kfc; burgerking; subway","kfc; niewiem; mcdonalds; subway"
136,"mcdonalds; burgerking; subway; pizzahut; dominospizza; kfc; wendys; tacobell; popeyes","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; niewiem"
169,"mcdonalds; kfc; burgerking","kfc; burgerking; mcdonalds; subway; niewiem"
90,"mcdonalds; kfc; pizzahut; subway; burgerking","kfc; burgerking; mcdonalds; subway; niewiem; maxburgers"
172,"mcdonalds; burgerking; kfc; popeyes; maxburgers; pasibus","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
86,"kfc; mcdonalds; burgerking; kebabking","kfc; burgerking; mcdonalds; subway; niewiem"
64,"mcdonalds; kfc; popeyes; pizzahut; burgerking; tacobell; wendys; kebabking; subway; pandaexpress; thaiwok; dagrasso; maxburgers","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
153,"mcdonalds; kfc; popeyes; burgerking; pizzahut; tacobell; maxburgers","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
179,"kfc","kfc; burgerking; mcdonalds; subway; niewiem; maxburgers; popeyes"
100,"kfc; mcdonalds","kfc; burgerking; mcdonalds; subway; niewiem; maxburgers"
146,"mcdonalds; wendys; kfc; burgerking; innout; kebabking; raisingcanes; pizzahut; dairyqueen; dominos; dunkindonuts; fiveguys; jollibee; maxburgers; northfish; pasibus; popeyes; subway; tacobell; dagrasso; pandaexpress","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
12,"mcdonalds; kfc; burgerking; maxburgers; subway","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; niewiem"
62,"mcdonalds; kfc; popeyes; wendys; sonic; tacobell; fiveguys; innout; shakeshack; pandaexpress; raisingcanes; loteria; arbys; chipotle; whataburger; jollibee; whitecastle; maxburgers; kebabking; pizzahut; dominos; littleceaser; dodopizza; zahirkebab; chickfila; wingstop; burgerking","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
57,"mcdonalds; maxburgers; burgerking; kfc; kebabking; pizzahut; popeyes; pasibus; dominospizza; telepizza; subway; 5guys; tacobell; wendys; innout; dunkindonuts","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
27,"mcdonalds; burgerking; subway; tacobell; kfc; pizzahut","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; niewiem"
10,"mcdonalds; kfc; burgerking; subway","kfc; niewiem; mcdonalds; subway"
152,"mcdonalds; burgerking; kfc; subway","kfc; niewiem; mcdonalds; subway; maxburgers"
188,"mcdonalds; kfc; popeyes; jollibee; burgerking; kebabking","kfc; burgerking; mcdonalds; subway; wendys; maxburgers; popeyes"
60,"kfc; mcdonalds; burgerking; pizzahut; maxburgers; popeyes","kfc; burgerking; mcdonalds; subway; niewiem; maxburgers; popeyes"
167,"mcdonalds; kfc; burgerking; popeyes; tacobell; wendys; subway; chipotle; pizzahut; dominos; dunkindonuts; fiveguys; papajohns","kfc; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
46,"mcdonalds; burgerking; innout; pandaexpress; kfc; maxburgers; popeyes; tacobell","kfc; burgerking; mcdonalds; subway; tacobell; niewiem; maxburgers; popeyes"
