"brand.recall","count"
"mcdonalds",190
"kfc",183
"burgerking",163
"subway",97
"maxburgers",65
"popeyes",59
"wendys",57
"pizzahut",54
"tacobell",53
"northfish",32
"dominospizza",30
"kebabking",24
"fiveguys",19
"pasibus",19
"dunkindonuts",17
"chipotle",16
"innout",16
"saladstory",15
"thaiwok",12
"pandaexpress",8
"papajohns",8
"bobbyburger",7
"chickfila",6
"dagrasso",6
"jollibee",6
"telepizza",5
"5guys",4
"amirkebab",4
"donerkebab",4
"silverdragon",4
"arbys",3
"dairyqueen",3
"hesburger",3
"loteria",3
"raisingcanes",3
"shakeshack",3
"whitecastle",3
"zahirkebab",3
"littleceaser",2
"sonic",2
"whataburger",2
"applebees",1
"chuckecheese",1
"dodopizza",1
"hooters",1
"matsuya",1
"mosburger",1
"otacos",1
"wingstop",1
"wkusnoitoczka",1
"wrapme",1
"mcdonalds",139
"kfc",134
"burgerking",114
"subway",75
"pizzahut",49
"popeyes",47
"maxburgers",43
"tacobell",41
"wendys",39
"dominospizza",27
"northfish",25
"pasibus",14
"kebabking",13
"fiveguys",12
"chipotle",9
"saladstory",9
"innout",8
"dagrasso",5
"dunkindonuts",4
"thaiwok",4
"donerkebab",3
"telepizza",3
"bobbyburger",2
"pandaexpress",2
"shakeshack",2
"wrapme",2
"zahirkebab",2
"chickfila",1
"hesburger",1
"jollibee",1
"loteria",1
"panerabread",1
"papajohns",1
"raisingcanes",1
"silverdragon",1
"whitecastle",1
"mcdonalds",36
"kfc",35
"burgerking",28
"subway",15
"wendys",15
"popeyes",13
"maxburgers",12
"pizzahut",12
"tacobell",9
"northfish",6
"dominospizza",4
"fiveguys",4
"chipotle",2
"dunkindonuts",2
"innout",2
"raisingcanes",2
"wingstop",2
"dagrasso",1
"donerkebab",1
"kebabking",1
"papajohns",1
"pasibus",1
"zahirkebab",1
