"respondent_id","question_id","alternative_id","choice","price","gram","kcal","type_burger_classic","type_burger_premium","type_bundle_classic","type_bundle_premium","brand_mcdonalds","brand_burger_king","brand_max_burger","brand_wendys","is_well_known","is_bundle","is_premium","no_choice","past.use_this","brand.recall_this","brand.recognition_this","age","gender","income","location","fast.food.frequency","education","total_recalled","total_recognized","avg_price_guess_diff","respondent_question_id"
2001,1,1,0,29,285,415,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,24,"kobieta","1000-2500","wies","raz-w-tygodniu","w-trakcie-studiow",7,8,8.23,"2001_1"
2001,1,2,1,27,250,598,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,24,"kobieta","1000-2500","wies","raz-w-tygodniu","w-trakcie-studiow",7,8,8.23,"2001_1"
2001,1,3,0,23,190,1060,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,24,"kobieta","1000-2500","wies","raz-w-tygodniu","w-trakcie-studiow",7,8,8.23,"2001_1"
2001,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,"kobieta","1000-2500","wies","raz-w-tygodniu","w-trakcie-studiow",7,8,8.23,"2001_1"
2001,2,1,0,23,243,452,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,24,"kobieta","1000-2500","wies","raz-w-tygodniu","w-trakcie-studiow",7,8,8.23,"2001_2"
2001,2,2,0,29,413,616,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,24,"kobieta","1000-2500","wies","raz-w-tygodniu","w-trakcie-studiow",7,8,8.23,"2001_2"
2001,2,3,0,37,326,737,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,24,"kobieta","1000-2500","wies","raz-w-tygodniu","w-trakcie-studiow",7,8,8.23,"2001_2"
2001,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,"kobieta","1000-2500","wies","raz-w-tygodniu","w-trakcie-studiow",7,8,8.23,"2001_2"
2001,3,1,0,29,241,458,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,24,"kobieta","1000-2500","wies","raz-w-tygodniu","w-trakcie-studiow",7,8,8.23,"2001_3"
2001,3,2,1,37,196,562,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,24,"kobieta","1000-2500","wies","raz-w-tygodniu","w-trakcie-studiow",7,8,8.23,"2001_3"
2001,3,3,0,27,203,627,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,24,"kobieta","1000-2500","wies","raz-w-tygodniu","w-trakcie-studiow",7,8,8.23,"2001_3"
2001,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,"kobieta","1000-2500","wies","raz-w-tygodniu","w-trakcie-studiow",7,8,8.23,"2001_3"
2001,4,1,1,27,296,550,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,24,"kobieta","1000-2500","wies","raz-w-tygodniu","w-trakcie-studiow",7,8,8.23,"2001_4"
2001,4,2,0,23,209,404,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,24,"kobieta","1000-2500","wies","raz-w-tygodniu","w-trakcie-studiow",7,8,8.23,"2001_4"
2001,4,3,0,29,269,645,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,24,"kobieta","1000-2500","wies","raz-w-tygodniu","w-trakcie-studiow",7,8,8.23,"2001_4"
2001,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,"kobieta","1000-2500","wies","raz-w-tygodniu","w-trakcie-studiow",7,8,8.23,"2001_4"
2001,5,1,0,37,282,570,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,24,"kobieta","1000-2500","wies","raz-w-tygodniu","w-trakcie-studiow",7,8,8.23,"2001_5"
2001,5,2,0,29,183,690,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,24,"kobieta","1000-2500","wies","raz-w-tygodniu","w-trakcie-studiow",7,8,8.23,"2001_5"
2001,5,3,1,23,234,1048,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,24,"kobieta","1000-2500","wies","raz-w-tygodniu","w-trakcie-studiow",7,8,8.23,"2001_5"
2001,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,"kobieta","1000-2500","wies","raz-w-tygodniu","w-trakcie-studiow",7,8,8.23,"2001_5"
2001,6,1,0,23,180,520,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,24,"kobieta","1000-2500","wies","raz-w-tygodniu","w-trakcie-studiow",7,8,8.23,"2001_6"
2001,6,2,0,23,406,640,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,24,"kobieta","1000-2500","wies","raz-w-tygodniu","w-trakcie-studiow",7,8,8.23,"2001_6"
2001,6,3,0,29,214,452,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,24,"kobieta","1000-2500","wies","raz-w-tygodniu","w-trakcie-studiow",7,8,8.23,"2001_6"
2001,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,"kobieta","1000-2500","wies","raz-w-tygodniu","w-trakcie-studiow",7,8,8.23,"2001_6"
2002,1,1,0,29,231,1078,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,27,"mezczyzna","2500-5000","miasto-500","czesciej-niz-raz-w-tygodniu","wyzsze",12,8,9.09333333333333,"2002_1"
2002,1,2,1,27,322,551,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,27,"mezczyzna","2500-5000","miasto-500","czesciej-niz-raz-w-tygodniu","wyzsze",12,8,9.09333333333333,"2002_1"
2002,1,3,0,23,214,468,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,27,"mezczyzna","2500-5000","miasto-500","czesciej-niz-raz-w-tygodniu","wyzsze",12,8,9.09333333333333,"2002_1"
2002,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27,"mezczyzna","2500-5000","miasto-500","czesciej-niz-raz-w-tygodniu","wyzsze",12,8,9.09333333333333,"2002_1"
2002,2,1,0,23,261,640,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,27,"mezczyzna","2500-5000","miasto-500","czesciej-niz-raz-w-tygodniu","wyzsze",12,8,9.09333333333333,"2002_2"
2002,2,2,0,29,250,1033,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,27,"mezczyzna","2500-5000","miasto-500","czesciej-niz-raz-w-tygodniu","wyzsze",12,8,9.09333333333333,"2002_2"
2002,2,3,1,37,234,777,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,27,"mezczyzna","2500-5000","miasto-500","czesciej-niz-raz-w-tygodniu","wyzsze",12,8,9.09333333333333,"2002_2"
2002,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27,"mezczyzna","2500-5000","miasto-500","czesciej-niz-raz-w-tygodniu","wyzsze",12,8,9.09333333333333,"2002_2"
2002,3,1,0,29,239,649,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,27,"mezczyzna","2500-5000","miasto-500","czesciej-niz-raz-w-tygodniu","wyzsze",12,8,9.09333333333333,"2002_3"
2002,3,2,0,37,228,401,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,27,"mezczyzna","2500-5000","miasto-500","czesciej-niz-raz-w-tygodniu","wyzsze",12,8,9.09333333333333,"2002_3"
2002,3,3,1,27,284,613,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,27,"mezczyzna","2500-5000","miasto-500","czesciej-niz-raz-w-tygodniu","wyzsze",12,8,9.09333333333333,"2002_3"
2002,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27,"mezczyzna","2500-5000","miasto-500","czesciej-niz-raz-w-tygodniu","wyzsze",12,8,9.09333333333333,"2002_3"
2002,4,1,0,27,207,507,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,27,"mezczyzna","2500-5000","miasto-500","czesciej-niz-raz-w-tygodniu","wyzsze",12,8,9.09333333333333,"2002_4"
2002,4,2,1,23,266,1043,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,27,"mezczyzna","2500-5000","miasto-500","czesciej-niz-raz-w-tygodniu","wyzsze",12,8,9.09333333333333,"2002_4"
2002,4,3,0,29,235,473,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,27,"mezczyzna","2500-5000","miasto-500","czesciej-niz-raz-w-tygodniu","wyzsze",12,8,9.09333333333333,"2002_4"
2002,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27,"mezczyzna","2500-5000","miasto-500","czesciej-niz-raz-w-tygodniu","wyzsze",12,8,9.09333333333333,"2002_4"
2002,5,1,0,37,286,444,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,27,"mezczyzna","2500-5000","miasto-500","czesciej-niz-raz-w-tygodniu","wyzsze",12,8,9.09333333333333,"2002_5"
2002,5,2,1,29,414,531,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,27,"mezczyzna","2500-5000","miasto-500","czesciej-niz-raz-w-tygodniu","wyzsze",12,8,9.09333333333333,"2002_5"
2002,5,3,0,23,226,1079,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,27,"mezczyzna","2500-5000","miasto-500","czesciej-niz-raz-w-tygodniu","wyzsze",12,8,9.09333333333333,"2002_5"
